ID,Name,Initials,Type,Material Label,Group,Email Address,User Logon Account,Max Units,Standard Rate,Cost Per Use,Notes
1,G.C. General Management,G,Work,,,,,100%,$50.00/h,0,
2,G.C. Project Management,G,Work,,,,,100%,$50.00/h,0,
3,G.C. Procurement,G,Work,,,,,100%,$50.00/h,0,
4,G.C. Scheduler,G,Work,,,,,100%,$50.00/h,0,
5,G.C. Accounting,G,Work,,,,,100%,$50.00/h,0,
6,G.C. Superintendent,G,Work,,,,,100%,$50.00/h,0,
7,G.C. Survey Crew,G,Work,,,,,100%,$50.00/h,0,
8,G.C. Rough Carpenter Crew,G,Work,,,,,100%,$50.00/h,0,
9,G.C. Labor Crew,G,Work,,,,,100%,$50.00/h,0,
10,G.C. Concrete Crew,G,Work,,,,,100%,$50.00/h,0,
11,G.C. Finish Carpenter Crew,G,Work,,,,,100%,$50.00/h,0,
12,Site Grading Contractor,S,Work,,,,,100%,$50.00/h,0,
13,Plumbing Contractor,P,Work,,,,,100%,$50.00/h,0,
14,Plumbing Contractor Management,P,Work,,,,,100%,$50.00/h,0,
15,Electric Contractor,E,Work,,,,,100%,$50.00/h,0,
16,Electric Contractor Management,E,Work,,,,,100%,$50.00/h,0,
17,HVAC Contractor,H,Work,,,,,100%,$50.00/h,0,
18,HVAC Contractor Management,H,Work,,,,,100%,$50.00/h,0,
19,Elevator Contractor,E,Work,,,,,100%,$50.00/h,0,
20,Elevator Contractor Management,E,Work,,,,,100%,$50.00/h,0,
21,Steel Erection Contractor,S,Work,,,,,100%,$50.00/h,0,
22,Steel Erection Contractor Management,S,Work,,,,,100%,$50.00/h,0,
23,Drywall Contractor,D,Work,,,,,100%,$50.00/h,0,
24,Masonry Contractor,M,Work,,,,,100%,$50.00/h,0,
25,Tile Contractor,T,Work,,,,,100%,$50.00/h,0,
26,Roofing Contractor,R,Work,,,,,100%,$50.00/h,0,
27,Roofing Contractor Management,R,Work,,,,,100%,$50.00/h,0,
28,Window Contractor,W,Work,,,,,100%,$50.00/h,0,
29,Carpet Contractor,C,Work,,,,,100%,$50.00/h,0,
30,Landscape Contractor,L,Work,,,,,100%,$50.00/h,0,
31,Paving Contractor,P,Work,,,,,100%,$50.00/h,0,
32,Painting Contractor,P,Work,,,,,100%,$50.00/h,0,
