assign_idx,task_id,task_name,resource_id,resource_name,W_ik,U_ik,D_base,r_k_usd
0,2,Receive notice to proceed and sign contract,1,G.C. General Management,24.0,1.0,3.0,120.0
1,3,Submit bond and insurance documents,2,G.C. Project Management,16.0,1.0,2.0,95.0
2,3,Submit bond and insurance documents,1,G.C. General Management,4.0,0.25,2.0,120.0
3,4,Prepare and submit project schedule,2,G.C. Project Management,4.0,0.25,2.0,95.0
4,4,Prepare and submit project schedule,4,G.C. Scheduler,16.0,1.0,2.0,80.0
5,5,Prepare and submit schedule of values,1,G.C. General Management,1.6,0.1,2.0,120.0
6,5,Prepare and submit schedule of values,2,G.C. Project Management,16.0,1.0,2.0,95.0
7,6,Obtain building permits,2,G.C. Project Management,16.0,0.5,4.0,95.0
8,6,Obtain building permits,3,G.C. Procurement,16.0,0.5,4.0,75.0
9,7,Submit preliminary shop drawings,2,G.C. Project Management,40.0,0.5,10.0,95.0
10,7,Submit preliminary shop drawings,3,G.C. Procurement,40.0,0.5,10.0,75.0
11,10,Submit shop drawings and order long lead items - steel,22,Steel Erection Contractor Management,80.0,1.0,10.0,85.0
12,11,Submit shop drawings and order long lead items - roofing,27,Roofing Contractor Management,80.0,1.0,10.0,75.0
13,12,Submit shop drawings and order long lead items - elevator,20,Elevator Contractor Management,80.0,1.0,10.0,90.0
14,13,Submit shop drawings and order long lead items - plumbing,14,Plumbing Contractor Management,80.0,1.0,10.0,80.0
15,14,Submit shop drawings and order long lead items - electric,16,Electric Contractor Management,80.0,1.0,10.0,80.0
16,15,Submit shop drawings and order long lead items - HVAC,18,HVAC Contractor Management,80.0,1.0,10.0,80.0
17,16,"Detail, fabricate and deliver steel",22,Steel Erection Contractor Management,240.0,0.5,60.0,85.0
18,16,"Detail, fabricate and deliver steel",21,Steel Erection Contractor,240.0,0.5,60.0,75.0
19,18,Install temporary power,15,Electric Contractor,16.0,1.0,2.0,65.0
20,19,Install temporary water service,13,Plumbing Contractor,16.0,1.0,2.0,65.0
21,20,Set up site office,6,G.C. Superintendent,24.0,1.0,3.0,85.0
22,20,Set up site office,9,G.C. Labor Crew,2.4,0.1,2.9999999999999996,30.0
23,21,Set line and grade benchmarks,7,G.C. Survey Crew,24.0,1.0,3.0,65.0
24,22,Prepare site - lay down yard and temporary fencing,12,Site Grading Contractor,16.0,1.0,2.0,70.0
25,22,Prepare site - lay down yard and temporary fencing,9,G.C. Labor Crew,1.6,0.1,2.0,30.0
26,24,Clear and grub site,12,Site Grading Contractor,24.0,1.0,3.0,70.0
27,25,Stone site access and temporary parking area,12,Site Grading Contractor,16.0,1.0,2.0,70.0
28,26,Rough grade site (cut and fill),12,Site Grading Contractor,40.0,1.0,5.0,70.0
29,27,Install storm drainage,12,Site Grading Contractor,80.0,1.0,10.0,70.0
30,28,Install exterior fire line and building fire riser,13,Plumbing Contractor,80.0,1.0,10.0,65.0
31,29,Perform final site grading,12,Site Grading Contractor,80.0,1.0,10.0,70.0
32,30,Erect building batter boards and layout building,7,G.C. Survey Crew,40.0,1.0,5.0,65.0
33,32,Excavate foundations,12,Site Grading Contractor,40.0,0.5,10.0,70.0
34,33,Excavate elevator pit,12,Site Grading Contractor,16.0,1.0,2.0,70.0
35,34,Form column piers and spread foundations,8,G.C. Rough Carpenter Crew,32.0,1.0,4.0,55.0
36,35,Rough-in electric and plumbing in elevator,13,Plumbing Contractor,32.0,1.0,4.0,65.0
37,35,Rough-in electric and plumbing in elevator,15,Electric Contractor,32.0,1.0,4.0,65.0
38,36,Form elevator pit walls,8,G.C. Rough Carpenter Crew,32.0,1.0,4.0,55.0
39,37,Set reinforcing and anchor bolts,8,G.C. Rough Carpenter Crew,32.0,1.0,4.0,55.0
40,38,Pour column piers and foundations,10,G.C. Concrete Crew,40.0,1.0,5.0,60.0
41,39,Pour concrete elevator walls,10,G.C. Concrete Crew,8.0,1.0,1.0,60.0
42,40,Cure elevator wall concrete,9,G.C. Labor Crew,5.6,0.1,6.999999999999999,30.0
43,41,Cure piers and foundations,9,G.C. Labor Crew,5.6,0.1,6.999999999999999,30.0
44,42,Strip wall forms,9,G.C. Labor Crew,0.8,0.1,1.0,30.0
45,43,Strip column piers and foundation forms,9,G.C. Labor Crew,24.0,1.0,3.0,30.0
46,44,Install pneumatic tube in elevator pit,19,Elevator Contractor,24.0,1.0,3.0,80.0
47,45,Prepare and pour concrete floor in elevator pit,10,G.C. Concrete Crew,8.0,1.0,1.0,60.0
48,47,"Erect steel columns, beams and joist - 1st and 2nd floors",21,Steel Erection Contractor,80.0,1.0,10.0,75.0
49,48,"Erect steel columns, beams and joist - 3rd floor and roof",21,Steel Erection Contractor,80.0,1.0,10.0,75.0
50,49,Install miscellaneous iron and bracing - 1st and 2nd floors,21,Steel Erection Contractor,60.0,0.75,10.0,75.0
51,50,Install miscellaneous iron and bracing - 3rd floor and roof,21,Steel Erection Contractor,60.0,0.75,10.0,75.0
52,51,Install stairs and miscellaneous iron railing,21,Steel Erection Contractor,40.0,0.5,10.0,75.0
53,52,Touch-up paint on steel,21,Steel Erection Contractor,8.0,0.2,5.0,75.0
54,54,Form 2nd floor including all floor openings,8,G.C. Rough Carpenter Crew,40.0,1.0,5.0,55.0
55,54,Form 2nd floor including all floor openings,9,G.C. Labor Crew,8.0,0.2,5.0,30.0
56,55,"Install rebar and in-floor utilities (including mechanical, electrical, plumbing)",9,G.C. Labor Crew,13.2,0.33,4.999999999999999,30.0
57,55,"Install rebar and in-floor utilities (including mechanical, electrical, plumbing)",13,Plumbing Contractor,13.2,0.33,4.999999999999999,65.0
58,55,"Install rebar and in-floor utilities (including mechanical, electrical, plumbing)",15,Electric Contractor,13.2,0.33,4.999999999999999,65.0
