task_id,pred_id,type,lag
3,2,FS,0
4,3,FS,0
5,4,FS,0
6,2,FS,0
7,6,FS,0
8,2,FS,0
10,8,FS,0
11,7,FS,0
12,7,FS,0
13,7,FS,0
14,7,FS,0
15,7,FS,0
16,10,FS,0
18,2,FS,0
19,2,FS,0
20,18,FS,0
20,19,FS,0
21,20,FS,0
22,21,FS,0
24,20,FS,0
24,22,FS,0
25,24,FS,0
25,22,FS,0
26,25,FS,0
27,26,FS,0
28,26,FS,0
29,27,FF,1
29,28,FS,0
30,29,FS,0
32,30,FS,0
33,30,FS,0
34,32,FS,0
35,33,FS,0
36,35,FS,0
37,34,FS,0
38,37,FS,0
39,36,FS,0
40,39,FS,0
41,38,FS,0
42,40,FS,0
43,41,FS,0
44,42,FS,0
45,44,FS,0
47,43,FS,0
47,16,FS,0
48,47,FS,0
49,47,FS,0
50,48,FS,0
51,50,FS,0
52,51,FS,0
54,52,FS,0
54,13,FS,0
54,14,FS,0
54,15,FS,0
54,47,FS,0
55,47,FS,0
56,55,FS,0
56,54,FS,0
57,56,FS,0
58,57,FS,0
59,57,FS,0
60,57,FS,0
61,60,FS,0
61,59,FS,0
62,61,FS,0
63,62,FS,0
64,62,FS,0
65,62,FS,0
66,65,FS,0
66,64,FS,0
67,66,FS,0
68,67,FS,0
69,58,FS,0
70,58,FS,0
71,58,FS,0
72,58,FS,0
73,69,FS,0
73,72,FS,0
73,70,FS,0
73,71,FS,0
74,73,FS,0
75,74,FS,0
77,63,FS,0
77,68,FS,0
79,75,FS,0
79,13,FS,0
80,49,FS,0
80,50,FS,0
81,77,FS,0
82,81,FS,0
83,79,FS,0
84,81,FS,0
85,83,FS,0
87,81,FS,0
88,11,FS,0
88,82,FS,0
88,87,FS,0
89,88,FS,5
90,89,FS,0
91,90,FS,0
93,81,FS,0
94,93,FS,0
95,94,FS,0
96,81,FS,0
98,96,FS,0
98,94,FS,0
99,98,FS,0
99,95,FS,0
100,93,FS,0
101,94,FS,0
101,100,FS,0
102,94,FS,0
102,101,FS,0
103,102,FS,0
104,102,FS,0
105,99,FS,0
106,99,FS,0
107,99,FS,0
108,107,FS,0
110,80,FS,0
110,45,FS,0
110,12,FS,0
111,110,FS,0
112,111,FS,0
114,93,FS,0
115,84,FS,0
116,85,FS,0
116,114,FS,0
116,79,FS,0
117,99,FS,0
117,115,FS,0
117,116,FS,0
119,75,FS,0
119,14,FS,0
120,93,FS,0
121,119,FS,0
121,100,FS,0
122,121,FS,0
122,120,FS,0
123,121,FS,0
123,91,FS,0
124,102,FS,0
124,122,FS,0
126,80,FS,0
126,15,FS,0
127,75,FS,0
128,93,FS,0
129,126,FS,0
129,127,FS,0
129,93,FS,0
130,102,FS,0
130,129,FS,0
130,123,FS,0
132,94,FS,0
133,132,FS,0
134,105,FS,0
134,104,FS,0
134,106,FS,0
134,107,FS,0
134,117,FS,0
134,124,FS,0
134,103,FS,0
134,133,FS,0
135,134,FS,0
137,134,FS,0
137,112,FS,0
138,134,FS,0
138,108,FS,0
138,137,FS,0
139,138,FS,0
140,139,FS,0
141,140,FS,0
142,141,FS,0
143,141,FS,0
144,142,FS,0
144,143,FS,0
