Task ID,Name,D_base,D_min,Cost Base ($),Cost Crashed ($),Delta Cost ($),Delta Days,Slope ($/day)
35,Rough-in electric and plumbing in elevator,4,2,4160.0,6748.02,2588.02,2.0,1294.01
3,Submit bond and insurance documents,2,1,2000.0,3244.24,1244.24,1.0,1244.24
2,Receive notice to proceed and sign contract,3,2,2880.0,4671.71,1791.71,1.5,1194.47
5,Prepare and submit schedule of values,2,1,1712.0,2777.07,1065.07,1.0,1065.07
4,Prepare and submit project schedule,2,1,1660.0,2692.72,1032.72,1.0,1032.72
142,Obtain certificate of occupancy,2,1,1520.0,2465.62,945.62,1.0,945.62
143,Issue final completion documents including warranties,1,1,760.0,1232.81,472.81,0.5,945.62
144,Issue final request for payment,1,1,752.4,1220.48,468.08,0.5,936.17
138,Perform architect's inspection,1,1,720.0,1167.93,447.93,0.5,895.85
140,Perform Fire Marshal's inspection,1,1,720.0,1167.93,447.93,0.5,895.85
139,Perform local building agency inspection,1,1,720.0,1167.93,447.93,0.5,895.85
12,Submit shop drawings and order long lead items - elevator,10,5,7200.0,11679.27,4479.27,5.0,895.85
20,Set up site office,3,2,2112.0,3425.92,1313.92,1.5,875.95
10,Submit shop drawings and order long lead items - steel,10,5,6800.0,11030.42,4230.42,5.0,846.08
7,Submit preliminary shop drawings,10,5,6800.0,11030.42,4230.42,5.0,846.08
135,Substantial completion date,1,1,680.0,1103.04,423.04,0.5,846.08
6,Obtain building permits,4,2,2720.0,4412.17,1692.17,2.0,846.08
44,Install pneumatic tube in elevator pit,3,2,1920.0,3114.47,1194.47,1.5,796.31
15,Submit shop drawings and order long lead items - HVAC,10,5,6400.0,10381.57,3981.57,5.0,796.31
137,Complete elevator inspection and certification,3,2,1920.0,3114.47,1194.47,1.5,796.31
112,Test and align doors and equipment,10,5,6400.0,10381.57,3981.57,5.0,796.31
110,Set elevator equipment in shafts,20,10,12800.0,20763.14,7963.14,10.0,796.31
111,Set equipment in mechanical room,10,5,6400.0,10381.57,3981.57,5.0,796.31
16,"Detail, fabricate and deliver steel",60,30,38400.0,62289.43,23889.43,30.0,796.31
14,Submit shop drawings and order long lead items - electric,10,5,6400.0,10381.57,3981.57,5.0,796.31
13,Submit shop drawings and order long lead items - plumbing,10,5,6400.0,10381.57,3981.57,5.0,796.31
47,"Erect steel columns, beams and joist - 1st and 2nd floors",10,5,6000.0,9732.72,3732.72,5.0,746.54
11,Submit shop drawings and order long lead items - roofing,10,5,6000.0,9732.72,3732.72,5.0,746.54
48,"Erect steel columns, beams and joist - 3rd floor and roof",10,5,6000.0,9732.72,3732.72,5.0,746.54
22,Prepare site - lay down yard and temporary fencing,2,1,1168.0,1894.64,726.64,1.0,726.64
27,Install storm drainage,10,5,5600.0,9083.88,3483.88,5.0,696.78
33,Excavate elevator pit,2,1,1120.0,1816.78,696.78,1.0,696.78
25,Stone site access and temporary parking area,2,1,1120.0,1816.78,696.78,1.0,696.78
24,Clear and grub site,3,2,1680.0,2725.16,1045.16,1.5,696.78
29,Perform final site grading,10,5,5600.0,9083.88,3483.88,5.0,696.78
26,Rough grade site (cut and fill),5,3,2800.0,4541.94,1741.94,2.5,696.78
121,Pull wire in conduit and set area transformers,15,8,7800.0,12652.54,4852.54,7.5,647.01
124,Install light fixtures - test and clean,10,5,5200.0,8435.03,3235.03,5.0,647.01
128,Rough-in mechanical in drywall walls,10,5,5200.0,8435.03,3235.03,5.0,647.01
129,Install duct in building chase,15,8,7800.0,12652.54,4852.54,7.5,647.01
126,Set equipment in mechanical room,10,5,5200.0,8435.03,3235.03,5.0,647.01
114,Rough-in plumbing in drywall walls,20,10,10400.0,16870.06,6470.06,10.0,647.01
115,Tie-in fire line riser and set valves,10,5,5200.0,8435.03,3235.03,5.0,647.01
116,Set plumbing fixtures and trim,15,8,7800.0,12652.54,4852.54,7.5,647.01
119,Rough-in electrical in masonry walls,20,10,10400.0,16870.06,6470.06,10.0,647.01
117,"Flush, test, and clean piping and fixtures",10,5,5200.0,8435.03,3235.03,5.0,647.01
91,Set rooftop equipment,10,5,5200.0,8435.03,3235.03,5.0,647.01
79,Rough-in plumbing at toilets and masonry walls,20,10,10400.0,16870.06,6470.06,10.0,647.01
71,Install plumbing underground,5,3,2600.0,4217.51,1617.51,2.5,647.01
100,Install conduit at ceiling plenum space,15,8,7800.0,12652.54,4852.54,7.5,647.01
70,Install electrical underground,5,3,2600.0,4217.51,1617.51,2.5,647.01
120,Rough-in electrical in drywall walls,20,10,10400.0,16870.06,6470.06,10.0,647.01
123,Make electrical terminations for HVAC equipment,2,1,1040.0,1687.01,647.01,1.0,647.01
122,Install and terminate electrical devices,15,8,7800.0,12652.54,4852.54,7.5,647.01
127,Rough-in mechanical in masonry walls,20,10,10400.0,16870.06,6470.06,10.0,647.01
130,Set HVAC trim and test and balance system,20,10,10400.0,16870.06,6470.06,10.0,647.01
101,Install duct in ceiling plenum space,15,8,7800.0,12652.54,4852.54,7.5,647.01
30,Erect building batter boards and layout building,5,3,2600.0,4217.51,1617.51,2.5,647.01
28,Install exterior fire line and building fire riser,10,5,5200.0,8435.03,3235.03,5.0,647.01
19,Install temporary water service,2,1,1040.0,1687.01,647.01,1.0,647.01
21,Set line and grade benchmarks,3,2,1560.0,2530.51,970.51,1.5,647.01
18,Install temporary power,2,1,1040.0,1687.01,647.01,1.0,647.01
54,Form 2nd floor including all floor openings,5,3,2440.0,3957.97,1517.97,2.5,607.19
64,Form roof slab including all floor openings,5,3,2440.0,3957.97,1517.97,2.5,607.19
73,Pour 1st floor slab,4,2,1920.0,3114.47,1194.47,2.0,597.24
95,Install interior doors and hardware,10,5,4800.0,7786.18,2986.18,5.0,597.24
98,Install millwork and wood trim,15,8,7200.0,11679.27,4479.27,7.5,597.24
66,Pour roof slab,4,2,1920.0,3114.47,1194.47,2.0,597.24
108,"Pave, curb, and stripe parking lot",10,5,4800.0,7786.18,2986.18,5.0,597.24
106,Install hardware and accessories,15,8,7200.0,11679.27,4479.27,7.5,597.24
39,Pour concrete elevator walls,1,1,480.0,778.62,298.62,0.5,597.24
45,Prepare and pour concrete floor in elevator pit,1,1,480.0,778.62,298.62,0.5,597.24
38,Pour column piers and foundations,5,3,2400.0,3893.09,1493.09,2.5,597.24
56,Pour 2nd floor slab,4,2,1920.0,3114.47,1194.47,2.0,597.24
61,Pour 3rd floor slab,4,2,1920.0,3114.47,1194.47,2.0,597.24
49,Install miscellaneous iron and bracing - 1st and 2nd floors,10,5,4500.0,7299.54,2799.54,5.0,559.91
50,Install miscellaneous iron and bracing - 3rd floor and roof,10,5,4500.0,7299.54,2799.54,5.0,559.91
141,Complete punch list items from all inspections,10,5,4488.0,7280.08,2792.08,5.0,558.42
80,"Lay masonry at core, mechanical, and toilets",20,10,8800.0,14274.66,5474.66,10.0,547.47
81,Install exterior masonry work,25,13,11000.0,17843.33,6843.33,12.5,547.47
37,Set reinforcing and anchor bolts,4,2,1760.0,2854.93,1094.93,2.0,547.47
69,Form 1st floor,4,2,1760.0,2854.93,1094.93,2.0,547.47
36,Form elevator pit walls,4,2,1760.0,2854.93,1094.93,2.0,547.47
34,Form column piers and spread foundations,4,2,1760.0,2854.93,1094.93,2.0,547.47
87,Install flashing at parapet walls,4,2,1760.0,2854.93,1094.93,2.0,547.47
88,Pour lightweight concrete roof fill,2,1,880.0,1427.47,547.47,1.0,547.47
132,Install hard tile flooring in common areas,5,3,2200.0,3568.67,1368.67,2.5,547.47
90,Spread stone ballast on seamless roof,5,3,2200.0,3568.67,1368.67,2.5,547.47
82,Install roof drains,2,1,880.0,1427.47,547.47,1.0,547.47
83,Install tile in toilet rooms,10,5,4400.0,7137.33,2737.33,5.0,547.47
89,Install seamless roofing material,5,3,2200.0,3568.67,1368.67,2.5,547.47
65,"Install rebar and in-floor utilities (including mechanical, electrical, plumbing)",5,3,2112.0,3425.92,1313.92,2.5,525.57
55,"Install rebar and in-floor utilities (including mechanical, electrical, plumbing)",5,3,2112.0,3425.92,1313.92,2.5,525.57
60,"Install rebar and in-floor utilities (including mechanical, electrical, plumbing)",5,3,2112.0,3425.92,1313.92,2.5,525.57
72,Install rebar and in-floor utilities,4,2,1689.6,2740.74,1051.14,2.0,525.57
102,Install ceiling grid,10,5,4000.0,6488.48,2488.48,5.0,497.7
94,Install interior stud walls and drywall,25,13,10000.0,16221.21,6221.21,12.5,497.7
93,Install window wall aluminum and glass,25,13,10000.0,16221.21,6221.21,12.5,497.7
96,Install store front doors and hardware,15,8,6000.0,9732.72,3732.72,7.5,497.7
103,Install ceiling tile,10,5,4000.0,6488.48,2488.48,5.0,497.7
77,Install exterior sheathing and metal studs,15,8,6000.0,9732.72,3732.72,7.5,497.7
99,Paint walls and woodwork,20,10,7200.0,11679.27,4479.27,10.0,447.93
105,Install building carpet,20,10,7200.0,11679.27,4479.27,10.0,447.93
