target_duration,actual_duration,crash_cost,extra_crash_cost,penalty,bonus,total_cost,direct_cost_only
185,185,9448954811.176666,3105274811.1766663,0,15900000000,-6451045188.823334,9448954811.176666
190,190,9074729610.805353,2731049610.805353,0,15400000000,-6325270389.194647,9074729610.805353
195,195,8768368446.330606,2424688446.3306065,0,14900000000,-6131631553.669394,8768368446.330606
201,201,8525880858.922132,2182200858.9221315,0,14300000000,-5774119141.077868,8525880858.922132
206,206,8360038027.016955,2016358027.0169554,0,13800000000,-5439961972.983045,8360038027.016955
212,212,8126133247.111789,1782453247.1117887,0,13200000000,-5073866752.888211,8126133247.111789
217,217,7993427569.011274,1649747569.0112743,0,12700000000,-4706572430.988726,7993427569.011274
223,223,7851318462.758337,1507638462.758337,0,12100000000,-4248681537.241663,7851318462.758337
228,228,7776337757.569377,1432657757.569377,0,11600000000,-3823662242.430623,7776337757.569377
234,234,7651484616.597511,1307804616.5975113,0,11000000000,-3348515383.4024887,7651484616.597511
239,239,7488836636.220426,1145156636.2204256,0,10500000000,-3011163363.7795744,7488836636.220426
245,245,7330591514.27804,986911514.2780399,0,9900000000,-2569408485.72196,7330591514.27804
250,250,7229823189.319983,886143189.3199825,0,9400000000,-2170176810.6800175,7229823189.319983
256,256,7137590651.5083475,793910651.5083475,0,8800000000,-1662409348.4916525,7137590651.5083475
261,261,7030859455.713962,687179455.7139616,0,8300000000,-1269140544.2860384,7030859455.713962
267,267,6943551531.582136,599871531.5821362,0,7700000000,-756448468.4178638,6943551531.582136
272,272,6916607784.000016,572927784.0000162,0,7200000000,-283392215.9999838,6916607784.000016
278,278,6864706623.357197,521026623.3571968,0,6600000000,264706623.3571968,6864706623.357197
283,283,6818534657.641029,474854657.64102936,0,6100000000,718534657.6410294,6818534657.641029
289,289,6735808558.42032,392128558.42031956,0,5500000000,1235808558.4203196,6735808558.42032
294,294,6629288791.580596,285608791.58059597,0,5000000000,1629288791.580596,6629288791.580596
300,300,6559406176.79074,215726176.79074,0,4400000000,2159406176.79074,6559406176.79074
305,305,6513929938.480831,170249938.48083115,0,3900000000,2613929938.480831,6513929938.480831
311,311,6478976858.545693,135296858.5456934,0,3300000000,3178976858.5456934,6478976858.545693
316,316,6454691537.653647,111011537.65364742,0,2800000000,3654691537.6536474,6454691537.653647
322,322,6422053074.128718,78373074.12871838,0,2200000000,4222053074.1287184,6422053074.128718
327,327,6385899073.247574,42219073.24757385,0,1700000000,4685899073.247574,6385899073.247574
333,333,6360739113.731496,17059113.731495857,0,1100000000,5260739113.731496,6360739113.731496
338,338,6347321260.807424,3641260.8074235916,0,600000000,5747321260.807424,6347321260.807424
344,344,6343680000.0,0.0,0,0,6343680000.0,6343680000.0
