activity,status,start,end,duration,normal_duration,min_duration,crash_days,crash_cost_per_day,crash_cost,activity_base_cost
2,not_started,0,2,2,3,2,1,1194.47,1194.47,2880.0
8,not_started,2,3,1,1,1,0,298.62,0.0,240.0
18,not_started,2,4,2,2,1,0,647.01,0.0,1040.0
19,not_started,2,4,2,2,1,0,647.01,0.0,1040.0
3,not_started,2,4,2,2,1,0,1244.24,0.0,2000.0
6,not_started,2,6,4,4,2,0,846.08,0.0,2720.0
10,not_started,3,13,10,10,5,0,846.08,0.0,6800.0
20,not_started,4,6,2,3,2,1,875.95,875.95,2112.0
21,not_started,6,8,2,3,2,1,647.01,647.01,1560.0
22,not_started,8,9,1,2,1,1,726.64,726.64,1168.0
24,not_started,9,11,2,3,2,1,696.78,696.78,1680.0
25,not_started,11,12,1,2,1,1,696.78,696.78,1120.0
26,not_started,12,15,3,5,3,2,696.78,1393.56,2800.0
16,not_started,13,51,38,60,30,22,796.31,17518.82,38400.0
27,not_started,15,25,10,10,5,0,696.78,0.0,5600.0
28,not_started,15,25,10,10,5,0,647.01,0.0,5200.0
29,not_started,25,30,5,10,5,5,696.78,3483.9,5600.0
30,not_started,30,33,3,5,3,2,647.01,1294.02,2600.0
32,not_started,33,38,5,10,5,5,348.39,1741.95,2800.0
34,not_started,38,40,2,4,2,2,547.47,1094.94,1760.0
37,not_started,40,42,2,4,2,2,547.47,1094.94,1760.0
38,not_started,42,45,3,5,3,2,597.24,1194.48,2400.0
41,not_started,45,49,4,7,4,3,29.86,89.58,168.0
33,not_started,47,49,2,2,1,0,696.78,0.0,1120.0
7,not_started,48,58,10,10,5,0,846.08,0.0,6800.0
43,not_started,49,51,2,3,2,1,298.62,298.62,720.0
35,not_started,49,53,4,4,2,0,1294.01,0.0,4160.0
47,not_started,51,56,5,10,5,5,746.54,3732.7,6000.0
36,not_started,53,57,4,4,2,0,547.47,0.0,1760.0
48,not_started,56,61,5,10,5,5,746.54,3732.7,6000.0
49,not_started,56,66,10,10,5,0,559.91,0.0,4500.0
39,not_started,57,58,1,1,1,0,597.24,0.0,480.0
40,not_started,58,65,7,7,4,0,29.86,0.0,168.0
13,not_started,58,68,10,10,5,0,796.31,0.0,6400.0
14,not_started,58,68,10,10,5,0,796.31,0.0,6400.0
15,not_started,58,68,10,10,5,0,796.31,0.0,6400.0
12,not_started,60,70,10,10,5,0,895.85,0.0,7200.0
50,not_started,61,66,5,10,5,5,559.91,2799.55,4500.0
42,not_started,65,66,1,1,1,0,29.86,0.0,24.0
44,not_started,66,69,3,3,2,0,796.31,0.0,1920.0
51,not_started,66,71,5,10,5,5,373.27,1866.35,3000.0
55,not_started,66,71,5,5,3,0,525.57,0.0,2112.0
80,not_started,66,86,20,20,10,0,547.47,0.0,8800.0
45,not_started,69,70,1,1,1,0,597.24,0.0,480.0
52,not_started,71,74,3,5,3,2,149.31,298.62,600.0
54,not_started,74,77,3,5,3,2,607.19,1214.38,2440.0
56,not_started,77,79,2,4,2,2,597.24,1194.48,1920.0
57,not_started,79,83,4,7,4,3,29.86,89.58,168.0
58,not_started,83,85,2,2,1,0,298.62,0.0,480.0
59,not_started,83,86,3,5,3,2,333.46,666.92,1340.0
60,not_started,83,86,3,5,3,2,525.57,1051.14,2112.0
69,not_started,85,89,4,4,2,0,547.47,0.0,1760.0
72,not_started,85,89,4,4,2,0,525.57,0.0,1689.6
70,not_started,85,90,5,5,3,0,647.01,0.0,2600.0
71,not_started,85,90,5,5,3,0,647.01,0.0,2600.0
61,not_started,86,88,2,4,2,2,597.24,1194.48,1920.0
110,not_started,86,106,20,20,10,0,796.31,0.0,12800.0
62,not_started,88,92,4,7,4,3,29.86,89.58,168.0
73,not_started,90,94,4,4,2,0,597.24,0.0,1920.0
64,not_started,92,95,3,5,3,2,607.19,1214.38,2440.0
65,not_started,92,95,3,5,3,2,525.57,1051.14,2112.0
66,not_started,95,97,2,4,2,2,597.24,1194.48,1920.0
67,not_started,97,101,4,7,4,3,29.86,89.58,168.0
63,not_started,100,102,2,2,1,0,298.62,0.0,480.0
68,not_started,101,102,1,2,1,1,298.62,298.62,480.0
77,not_started,102,110,8,15,8,7,497.7,3483.9,6000.0
74,not_started,109,116,7,7,4,0,29.86,0.0,168.0
11,not_started,109,119,10,10,5,0,746.54,0.0,6000.0
81,not_started,110,123,13,25,13,12,547.47,6569.64,11000.0
75,not_started,116,118,2,2,1,0,298.62,0.0,480.0
119,not_started,118,138,20,20,10,0,647.01,0.0,10400.0
127,not_started,118,138,20,20,10,0,647.01,0.0,10400.0
79,not_started,118,138,20,20,10,0,647.01,0.0,10400.0
126,not_started,120,130,10,10,5,0,647.01,0.0,5200.0
82,not_started,123,125,2,2,1,0,547.47,0.0,880.0
87,not_started,123,127,4,4,2,0,547.47,0.0,1760.0
93,not_started,123,136,13,25,13,12,497.7,5972.4,10000.0
88,not_started,127,129,2,2,1,0,547.47,0.0,880.0
96,not_started,128,143,15,15,8,0,497.7,0.0,6000.0
89,not_started,129,134,5,5,3,0,547.47,0.0,2200.0
90,not_started,134,139,5,5,3,0,547.47,0.0,2200.0
100,not_started,136,149,13,15,8,2,647.01,1294.02,7800.0
94,not_started,136,149,13,25,13,12,497.7,5972.4,10000.0
114,not_started,136,156,20,20,10,0,647.01,0.0,10400.0
120,not_started,136,156,20,20,10,0,647.01,0.0,10400.0
83,not_started,138,148,10,10,5,0,547.47,0.0,4400.0
129,not_started,138,153,15,15,8,0,647.01,0.0,7800.0
91,not_started,139,149,10,10,5,0,647.01,0.0,5200.0
84,not_started,146,151,5,5,3,0,273.73,0.0,1100.0
85,not_started,148,153,5,5,3,0,273.73,0.0,1100.0
121,not_started,149,159,10,15,8,5,647.01,3235.05,7800.0
95,not_started,149,159,10,10,5,0,597.24,0.0,4800.0
98,not_started,149,159,10,15,8,5,597.24,2986.2,7200.0
101,not_started,149,164,15,15,8,0,647.01,0.0,7800.0
115,not_started,151,161,10,10,5,0,647.01,0.0,5200.0
111,not_started,153,163,10,10,5,0,796.31,0.0,6400.0
116,not_started,156,171,15,15,8,0,647.01,0.0,7800.0
123,not_started,159,161,2,2,1,0,647.01,0.0,1040.0
99,not_started,159,169,10,20,10,10,447.93,4479.3,7200.0
122,not_started,159,174,15,15,8,0,647.01,0.0,7800.0
132,not_started,162,167,5,5,3,0,547.47,0.0,2200.0
112,not_started,163,173,10,10,5,0,796.31,0.0,6400.0
102,not_started,164,174,10,10,5,0,497.7,0.0,4000.0
133,not_started,167,171,4,4,2,0,273.73,0.0,880.0
107,not_started,169,178,9,10,5,1,447.93,447.93,3600.0
105,not_started,169,184,15,20,10,5,447.93,2239.65,7200.0
106,not_started,169,184,15,15,8,0,597.24,0.0,7200.0
117,not_started,171,181,10,10,5,0,647.01,0.0,5200.0
103,not_started,174,184,10,10,5,0,497.7,0.0,4000.0
104,not_started,174,184,10,10,5,0,447.93,0.0,3600.0
124,not_started,174,184,10,10,5,0,647.01,0.0,5200.0
130,not_started,174,194,20,20,10,0,647.01,0.0,10400.0
128,not_started,175,185,10,10,5,0,647.01,0.0,5200.0
108,not_started,178,188,10,10,5,0,597.24,0.0,4800.0
4,not_started,181,183,2,2,1,0,1032.72,0.0,1660.0
5,not_started,183,185,2,2,1,0,1065.07,0.0,1712.0
134,not_started,184,186,2,4,2,2,298.62,597.24,960.0
135,not_started,186,187,1,1,1,0,846.08,0.0,680.0
137,not_started,186,188,2,3,2,1,796.31,796.31,1920.0
138,not_started,188,189,1,1,1,0,895.85,0.0,720.0
139,not_started,189,190,1,1,1,0,895.85,0.0,720.0
140,not_started,190,191,1,1,1,0,895.85,0.0,720.0
141,not_started,191,196,5,10,5,5,558.42,2792.1,4488.0
142,not_started,196,197,1,2,1,1,945.62,945.62,1520.0
143,not_started,196,197,1,1,1,0,945.62,0.0,760.0
144,not_started,197,198,1,1,1,0,936.17,0.0,752.4
