activity,status,start,end,duration,normal_duration,min_duration,crash_days,crash_cost_per_day,crash_cost
2,not_started,0,3,3,3,2,0,1194.47,0.0
8,not_started,3,4,1,1,1,0,298.62,0.0
18,not_started,3,5,2,2,1,0,647.01,0.0
19,not_started,3,5,2,2,1,0,647.01,0.0
3,not_started,3,5,2,2,1,0,1244.24,0.0
10,not_started,4,14,10,10,5,0,846.08,0.0
4,not_started,5,7,2,2,1,0,1032.72,0.0
20,not_started,5,8,3,3,2,0,875.95,0.0
5,not_started,7,9,2,2,1,0,1065.07,0.0
21,not_started,8,11,3,3,2,0,647.01,0.0
6,not_started,9,13,4,4,2,0,846.08,0.0
22,not_started,11,12,1,2,1,1,726.64,726.64
24,not_started,12,14,2,3,2,1,696.78,696.78
7,not_started,13,23,10,10,5,0,846.08,0.0
25,not_started,14,15,1,2,1,1,696.78,696.78
16,not_started,14,56,42,60,30,18,796.31,14333.58
26,not_started,15,18,3,5,3,2,696.78,1393.56
27,not_started,18,28,10,10,5,0,696.78,0.0
28,not_started,18,28,10,10,5,0,647.01,0.0
29,not_started,28,33,5,10,5,5,696.78,3483.9
30,not_started,33,38,5,5,3,0,647.01,0.0
33,not_started,38,40,2,2,1,0,696.78,0.0
32,not_started,38,43,5,10,5,5,348.39,1741.95
35,not_started,40,44,4,4,2,0,1294.01,0.0
34,not_started,43,45,2,4,2,2,547.47,1094.94
36,not_started,44,48,4,4,2,0,547.47,0.0
37,not_started,45,47,2,4,2,2,547.47,1094.94
38,not_started,47,50,3,5,3,2,597.24,1194.48
39,not_started,48,49,1,1,1,0,597.24,0.0
40,not_started,49,56,7,7,4,0,29.86,0.0
41,not_started,50,54,4,7,4,3,29.86,89.58
43,not_started,54,56,2,3,2,1,298.62,298.62
42,not_started,56,57,1,1,1,0,29.86,0.0
47,not_started,56,61,5,10,5,5,746.54,3732.7
44,not_started,57,60,3,3,2,0,796.31,0.0
45,not_started,60,61,1,1,1,0,597.24,0.0
48,not_started,61,66,5,10,5,5,746.54,3732.7
55,not_started,61,66,5,5,3,0,525.57,0.0
49,not_started,61,71,10,10,5,0,559.91,0.0
13,not_started,63,73,10,10,5,0,796.31,0.0
14,not_started,63,73,10,10,5,0,796.31,0.0
15,not_started,63,73,10,10,5,0,796.31,0.0
12,not_started,65,75,10,10,5,0,895.85,0.0
50,not_started,66,71,5,10,5,5,559.91,2799.55
51,not_started,71,76,5,10,5,5,373.27,1866.35
80,not_started,71,91,20,20,10,0,547.47,0.0
52,not_started,76,79,3,5,3,2,149.31,298.62
54,not_started,79,82,3,5,3,2,607.19,1214.38
56,not_started,82,84,2,4,2,2,597.24,1194.48
57,not_started,84,88,4,7,4,3,29.86,89.58
58,not_started,88,90,2,2,1,0,298.62,0.0
59,not_started,88,91,3,5,3,2,333.46,666.92
60,not_started,88,91,3,5,3,2,525.57,1051.14
69,not_started,90,94,4,4,2,0,547.47,0.0
72,not_started,90,94,4,4,2,0,525.57,0.0
70,not_started,90,95,5,5,3,0,647.01,0.0
71,not_started,90,95,5,5,3,0,647.01,0.0
61,not_started,91,93,2,4,2,2,597.24,1194.48
126,not_started,91,101,10,10,5,0,647.01,0.0
110,not_started,91,111,20,20,10,0,796.31,0.0
62,not_started,93,97,4,7,4,3,29.86,89.58
73,not_started,95,99,4,4,2,0,597.24,0.0
63,not_started,97,99,2,2,1,0,298.62,0.0
64,not_started,97,100,3,5,3,2,607.19,1214.38
65,not_started,97,100,3,5,3,2,525.57,1051.14
74,not_started,99,106,7,7,4,0,29.86,0.0
66,not_started,100,102,2,4,2,2,597.24,1194.48
67,not_started,102,106,4,7,4,3,29.86,89.58
68,not_started,106,107,1,2,1,1,298.62,298.62
75,not_started,106,108,2,2,1,0,298.62,0.0
77,not_started,107,115,8,15,8,7,497.7,3483.9
119,not_started,108,128,20,20,10,0,647.01,0.0
127,not_started,108,128,20,20,10,0,647.01,0.0
79,not_started,108,128,20,20,10,0,647.01,0.0
11,not_started,114,124,10,10,5,0,746.54,0.0
81,not_started,115,128,13,25,13,12,547.47,6569.64
82,not_started,128,130,2,2,1,0,547.47,0.0
87,not_started,128,132,4,4,2,0,547.47,0.0
84,not_started,128,133,5,5,3,0,273.73,0.0
83,not_started,128,138,10,10,5,0,547.47,0.0
93,not_started,128,141,13,25,13,12,497.7,5972.4
115,not_started,133,143,10,10,5,0,647.01,0.0
96,not_started,133,148,15,15,8,0,497.7,0.0
85,not_started,138,143,5,5,3,0,273.73,0.0
128,not_started,141,151,10,10,5,0,647.01,0.0
100,not_started,141,154,13,15,8,2,647.01,1294.02
94,not_started,141,154,13,25,13,12,497.7,5972.4
129,not_started,141,156,15,15,8,0,647.01,0.0
120,not_started,141,161,20,20,10,0,647.01,0.0
114,not_started,144,164,20,20,10,0,647.01,0.0
132,not_started,154,159,5,5,3,0,547.47,0.0
101,not_started,154,169,15,15,8,0,647.01,0.0
121,not_started,154,169,15,15,8,0,647.01,0.0
98,not_started,154,169,15,15,8,0,597.24,0.0
88,not_started,155,157,2,2,1,0,547.47,0.0
89,not_started,157,162,5,5,3,0,547.47,0.0
111,not_started,158,168,10,10,5,0,796.31,0.0
133,not_started,159,163,4,4,2,0,273.73,0.0
95,not_started,159,169,10,10,5,0,597.24,0.0
90,not_started,162,167,5,5,3,0,547.47,0.0
116,not_started,164,179,15,15,8,0,647.01,0.0
91,not_started,167,177,10,10,5,0,647.01,0.0
112,not_started,168,178,10,10,5,0,796.31,0.0
102,not_started,169,179,10,10,5,0,497.7,0.0
99,not_started,169,179,10,20,10,10,447.93,4479.3
122,not_started,169,184,15,15,8,0,647.01,0.0
123,not_started,177,179,2,2,1,0,647.01,0.0
107,not_started,179,188,9,10,5,1,447.93,447.93
103,not_started,179,189,10,10,5,0,497.7,0.0
104,not_started,179,189,10,10,5,0,447.93,0.0
117,not_started,179,189,10,10,5,0,647.01,0.0
105,not_started,179,194,15,20,10,5,447.93,2239.65
106,not_started,179,194,15,15,8,0,597.24,0.0
130,not_started,179,199,20,20,10,0,647.01,0.0
124,not_started,184,194,10,10,5,0,647.01,0.0
108,not_started,188,198,10,10,5,0,597.24,0.0
134,not_started,194,196,2,4,2,2,298.62,597.24
135,not_started,196,197,1,1,1,0,846.08,0.0
137,not_started,196,198,2,3,2,1,796.31,796.31
138,not_started,198,199,1,1,1,0,895.85,0.0
139,not_started,199,200,1,1,1,0,895.85,0.0
140,not_started,200,201,1,1,1,0,895.85,0.0
141,not_started,201,206,5,10,5,5,558.42,2792.1
142,not_started,206,208,2,2,1,0,945.62,0.0
143,not_started,208,209,1,1,1,0,945.62,0.0
144,not_started,209,210,1,1,1,0,936.17,0.0
