activity,status,start,end,duration,normal_duration,min_duration,crash_days,crash_cost_per_day,crash_cost
2,not_started,0,1,1,3,1,2,1440.0,2880.0
8,not_started,1,1,0,1,0,1,360.0,360.0
18,not_started,1,3,2,2,1,0,780.0,0.0
19,not_started,1,3,2,2,1,0,780.0,0.0
3,not_started,1,3,2,2,1,0,1500.0,0.0
6,not_started,1,5,4,4,2,0,1020.0,0.0
10,not_started,1,11,10,10,5,0,1020.0,0.0
20,not_started,3,6,3,3,1,0,1056.0,0.0
21,not_started,6,7,1,3,1,2,780.0,1560.0
22,not_started,7,8,1,2,1,1,876.0,876.0
24,not_started,8,9,1,3,1,2,840.0,1680.0
25,not_started,9,10,1,2,1,1,840.0,840.0
26,not_started,10,12,2,5,2,3,840.0,2520.0
16,not_started,11,44,33,60,30,27,960.0,25920.0
27,not_started,12,22,10,10,5,0,840.0,0.0
28,not_started,12,22,10,10,5,0,780.0,0.0
29,not_started,22,27,5,10,5,5,840.0,4200.0
30,not_started,27,29,2,5,2,3,780.0,2340.0
32,not_started,29,34,5,10,5,5,420.0,2100.0
34,not_started,34,36,2,4,2,2,660.0,1320.0
37,not_started,36,38,2,4,2,2,660.0,1320.0
33,not_started,38,40,2,2,1,0,840.0,0.0
38,not_started,38,40,2,5,2,3,720.0,2160.0
7,not_started,38,48,10,10,5,0,1020.0,0.0
41,not_started,40,43,3,7,3,4,36.0,144.0
35,not_started,40,44,4,4,2,0,1560.0,0.0
43,not_started,43,44,1,3,1,2,360.0,720.0
36,not_started,44,48,4,4,2,0,660.0,0.0
47,not_started,44,49,5,10,5,5,900.0,4500.0
39,not_started,48,49,1,1,0,0,720.0,0.0
13,not_started,48,58,10,10,5,0,960.0,0.0
14,not_started,48,58,10,10,5,0,960.0,0.0
15,not_started,48,58,10,10,5,0,960.0,0.0
48,not_started,49,54,5,10,5,5,900.0,4500.0
40,not_started,49,56,7,7,3,0,36.0,0.0
12,not_started,51,61,10,10,5,0,1080.0,0.0
50,not_started,54,59,5,10,5,5,675.0,3375.0
55,not_started,55,60,5,5,2,0,633.6,0.0
42,not_started,56,57,1,1,0,0,36.0,0.0
44,not_started,57,60,3,3,1,0,960.0,0.0
51,not_started,59,64,5,10,5,5,450.0,2250.0
45,not_started,60,61,1,1,0,0,720.0,0.0
52,not_started,64,66,2,5,2,3,180.0,540.0
54,not_started,66,68,2,5,2,3,732.0,2196.0
56,not_started,68,70,2,4,2,2,720.0,1440.0
57,not_started,70,73,3,7,3,4,36.0,144.0
58,not_started,73,75,2,2,1,0,360.0,0.0
59,not_started,73,75,2,5,2,3,402.0,1206.0
60,not_started,73,75,2,5,2,3,633.6,1900.8
61,not_started,75,77,2,4,2,2,720.0,1440.0
69,not_started,75,79,4,4,2,0,660.0,0.0
72,not_started,75,79,4,4,2,0,633.6,0.0
