activity,status,start,end,duration,normal_duration,min_duration,crash_days,crash_cost_per_day,crash_cost
2,not_started,0,3,3,3,1,0,1440.0,0.0
8,not_started,3,4,1,1,0,0,360.0,0.0
18,not_started,3,5,2,2,1,0,780.0,0.0
19,not_started,3,5,2,2,1,0,780.0,0.0
3,not_started,3,5,2,2,1,0,1500.0,0.0
6,not_started,3,7,4,4,2,0,1020.0,0.0
10,not_started,4,14,10,10,5,0,1020.0,0.0
20,not_started,5,8,3,3,1,0,1056.0,0.0
21,not_started,8,11,3,3,1,0,780.0,0.0
22,not_started,11,13,2,2,1,0,876.0,0.0
24,not_started,13,16,3,3,1,0,840.0,0.0
16,not_started,14,74,60,60,30,0,960.0,0.0
25,not_started,16,18,2,2,1,0,840.0,0.0
26,not_started,18,23,5,5,2,0,840.0,0.0
27,not_started,23,33,10,10,5,0,840.0,0.0
28,not_started,23,33,10,10,5,0,780.0,0.0
29,not_started,33,43,10,10,5,0,840.0,0.0
7,not_started,38,48,10,10,5,0,1020.0,0.0
30,not_started,43,48,5,5,2,0,780.0,0.0
33,not_started,48,50,2,2,1,0,840.0,0.0
32,not_started,48,57,9,10,5,1,420.0,420.0
13,not_started,48,58,10,10,5,0,960.0,0.0
14,not_started,48,58,10,10,5,0,960.0,0.0
15,not_started,48,58,10,10,5,0,960.0,0.0
35,not_started,50,54,4,4,2,0,1560.0,0.0
12,not_started,51,61,10,10,5,0,1080.0,0.0
36,not_started,54,58,4,4,2,0,660.0,0.0
34,not_started,57,61,4,4,2,0,660.0,0.0
39,not_started,58,59,1,1,0,0,720.0,0.0
37,not_started,61,65,4,4,2,0,660.0,0.0
38,not_started,65,70,5,5,2,0,720.0,0.0
41,not_started,70,73,3,7,3,4,36.0,144.0
43,not_started,73,74,1,3,1,2,360.0,720.0
47,not_started,74,84,10,10,5,0,900.0,0.0
55,not_started,84,89,5,5,2,0,633.6,0.0
48,not_started,84,94,10,10,5,0,900.0,0.0
49,not_started,84,94,10,10,5,0,675.0,0.0
11,not_started,91,101,10,10,5,0,900.0,0.0
50,not_started,94,104,10,10,5,0,675.0,0.0
40,not_started,100,107,7,7,3,0,36.0,0.0
51,not_started,104,109,5,10,5,5,450.0,2250.0
80,not_started,104,124,20,20,10,0,660.0,0.0
42,not_started,107,108,1,1,0,0,36.0,0.0
44,not_started,108,111,3,3,1,0,960.0,0.0
52,not_started,109,111,2,5,2,3,180.0,540.0
45,not_started,111,112,1,1,0,0,720.0,0.0
54,not_started,111,116,5,5,2,0,732.0,0.0
56,not_started,116,120,4,4,2,0,720.0,0.0
57,not_started,120,123,3,7,3,4,36.0,144.0
58,not_started,123,125,2,2,1,0,360.0,0.0
59,not_started,123,128,5,5,2,0,402.0,0.0
60,not_started,123,128,5,5,2,0,633.6,0.0
69,not_started,125,129,4,4,2,0,660.0,0.0
72,not_started,125,129,4,4,2,0,633.6,0.0
70,not_started,125,130,5,5,2,0,780.0,0.0
71,not_started,125,130,5,5,2,0,780.0,0.0
61,not_started,128,132,4,4,2,0,720.0,0.0
73,not_started,130,134,4,4,2,0,720.0,0.0
62,not_started,132,135,3,7,3,4,36.0,144.0
74,not_started,134,141,7,7,3,0,36.0,0.0
63,not_started,135,137,2,2,1,0,360.0,0.0
64,not_started,135,140,5,5,2,0,732.0,0.0
65,not_started,135,140,5,5,2,0,633.6,0.0
66,not_started,140,144,4,4,2,0,720.0,0.0
75,not_started,141,143,2,2,1,0,360.0,0.0
119,not_started,143,163,20,20,10,0,780.0,0.0
79,not_started,143,163,20,20,10,0,780.0,0.0
67,not_started,144,147,3,7,3,4,36.0,144.0
68,not_started,147,148,1,2,1,1,360.0,360.0
77,not_started,148,163,15,15,7,0,600.0,0.0
4,not_started,154,156,2,2,1,0,1245.0,0.0
83,not_started,163,173,10,10,5,0,660.0,0.0
81,not_started,163,188,25,25,12,0,660.0,0.0
85,not_started,173,178,5,5,2,0,330.0,0.0
82,not_started,188,190,2,2,1,0,660.0,0.0
87,not_started,188,192,4,4,2,0,660.0,0.0
84,not_started,188,193,5,5,2,0,330.0,0.0
96,not_started,188,203,15,15,7,0,600.0,0.0
93,not_started,188,213,25,25,12,0,600.0,0.0
115,not_started,193,203,10,10,5,0,780.0,0.0
128,not_started,213,223,10,10,5,0,780.0,0.0
100,not_started,213,228,15,15,7,0,780.0,0.0
114,not_started,213,233,20,20,10,0,780.0,0.0
120,not_started,213,233,20,20,10,0,780.0,0.0
94,not_started,213,238,25,25,12,0,600.0,0.0
121,not_started,228,243,15,15,7,0,780.0,0.0
116,not_started,233,248,15,15,7,0,780.0,0.0
132,not_started,238,243,5,5,2,0,660.0,0.0
95,not_started,238,248,10,10,5,0,720.0,0.0
101,not_started,238,253,15,15,7,0,780.0,0.0
98,not_started,238,253,15,15,7,0,720.0,0.0
133,not_started,243,247,4,4,2,0,330.0,0.0
122,not_started,243,258,15,15,7,0,780.0,0.0
110,not_started,251,271,20,20,10,0,960.0,0.0
102,not_started,253,263,10,10,5,0,600.0,0.0
99,not_started,253,273,20,20,10,0,540.0,0.0
88,not_started,254,256,2,2,1,0,660.0,0.0
127,not_started,255,275,20,20,10,0,780.0,0.0
89,not_started,256,261,5,5,2,0,660.0,0.0
90,not_started,261,266,5,5,2,0,660.0,0.0
103,not_started,263,273,10,10,5,0,600.0,0.0
104,not_started,263,273,10,10,5,0,540.0,0.0
124,not_started,263,273,10,10,5,0,780.0,0.0
126,not_started,265,275,10,10,5,0,780.0,0.0
111,not_started,271,281,10,10,5,0,960.0,0.0
117,not_started,273,283,10,10,5,0,780.0,0.0
106,not_started,273,288,15,15,7,0,720.0,0.0
105,not_started,273,289,16,20,10,4,540.0,2160.0
107,not_started,274,284,10,10,5,0,540.0,0.0
129,not_started,275,290,15,15,7,0,780.0,0.0
91,not_started,278,288,10,10,5,0,780.0,0.0
112,not_started,281,291,10,10,5,0,960.0,0.0
108,not_started,284,294,10,10,5,0,720.0,0.0
123,not_started,288,290,2,2,1,0,780.0,0.0
134,not_started,289,291,2,4,2,2,360.0,720.0
130,not_started,290,310,20,20,10,0,780.0,0.0
135,not_started,291,292,1,1,0,0,1020.0,0.0
137,not_started,291,294,3,3,1,0,960.0,0.0
138,not_started,294,295,1,1,0,0,1080.0,0.0
139,not_started,295,296,1,1,0,0,1080.0,0.0
140,not_started,296,297,1,1,0,0,1080.0,0.0
141,not_started,297,307,10,10,5,0,673.2,0.0
142,not_started,307,309,2,2,1,0,1140.0,0.0
143,not_started,308,309,1,1,0,0,1140.0,0.0
5,not_started,308,310,2,2,1,0,1284.0,0.0
144,not_started,309,310,1,1,0,0,1128.6,0.0
