activity,status,start,end,duration,normal_duration,min_duration,crash_days,crash_cost_per_day,crash_cost
2,not_started,0,3,3,3,2,0,1194.47,0.0
8,not_started,3,4,1,1,1,0,298.62,0.0
18,not_started,3,5,2,2,1,0,647.01,0.0
19,not_started,3,5,2,2,1,0,647.01,0.0
3,not_started,3,5,2,2,1,0,1244.24,0.0
6,not_started,3,7,4,4,2,0,846.08,0.0
10,not_started,4,14,10,10,5,0,846.08,0.0
20,not_started,5,8,3,3,2,0,875.95,0.0
21,not_started,8,11,3,3,2,0,647.01,0.0
22,not_started,11,13,2,2,1,0,726.64,0.0
24,not_started,13,16,3,3,2,0,696.78,0.0
16,not_started,14,74,60,60,30,0,796.31,0.0
25,not_started,16,18,2,2,1,0,696.78,0.0
26,not_started,18,23,5,5,3,0,696.78,0.0
27,not_started,23,33,10,10,5,0,696.78,0.0
28,not_started,23,33,10,10,5,0,647.01,0.0
29,not_started,33,43,10,10,5,0,696.78,0.0
30,not_started,43,48,5,5,3,0,647.01,0.0
33,not_started,48,50,2,2,1,0,696.78,0.0
32,not_started,48,55,7,10,5,3,348.39,1045.17
7,not_started,48,58,10,10,5,0,846.08,0.0
35,not_started,50,54,4,4,2,0,1294.01,0.0
36,not_started,54,58,4,4,2,0,547.47,0.0
34,not_started,55,59,4,4,2,0,547.47,0.0
39,not_started,58,59,1,1,1,0,597.24,0.0
13,not_started,58,68,10,10,5,0,796.31,0.0
14,not_started,58,68,10,10,5,0,796.31,0.0
15,not_started,58,68,10,10,5,0,796.31,0.0
37,not_started,59,63,4,4,2,0,547.47,0.0
40,not_started,59,65,6,7,4,1,29.86,29.86
12,not_started,60,70,10,10,5,0,895.85,0.0
38,not_started,63,68,5,5,3,0,597.24,0.0
42,not_started,65,66,1,1,1,0,29.86,0.0
44,not_started,66,69,3,3,2,0,796.31,0.0
41,not_started,68,72,4,7,4,3,29.86,89.58
45,not_started,69,70,1,1,1,0,597.24,0.0
43,not_started,72,74,2,3,2,1,298.62,298.62
47,not_started,74,84,10,10,5,0,746.54,0.0
55,not_started,84,89,5,5,3,0,525.57,0.0
48,not_started,84,94,10,10,5,0,746.54,0.0
49,not_started,84,94,10,10,5,0,559.91,0.0
50,not_started,94,104,10,10,5,0,559.91,0.0
51,not_started,104,109,5,10,5,5,373.27,1866.35
80,not_started,104,124,20,20,10,0,547.47,0.0
52,not_started,109,112,3,5,3,2,149.31,298.62
11,not_started,109,119,10,10,5,0,746.54,0.0
54,not_started,112,117,5,5,3,0,607.19,0.0
56,not_started,117,121,4,4,2,0,597.24,0.0
57,not_started,121,125,4,7,4,3,29.86,89.58
126,not_started,124,134,10,10,5,0,647.01,0.0
110,not_started,124,144,20,20,10,0,796.31,0.0
58,not_started,125,127,2,2,1,0,298.62,0.0
59,not_started,125,130,5,5,3,0,333.46,0.0
60,not_started,125,130,5,5,3,0,525.57,0.0
69,not_started,127,131,4,4,2,0,547.47,0.0
72,not_started,127,131,4,4,2,0,525.57,0.0
70,not_started,127,132,5,5,3,0,647.01,0.0
71,not_started,127,132,5,5,3,0,647.01,0.0
61,not_started,130,134,4,4,2,0,597.24,0.0
73,not_started,132,136,4,4,2,0,597.24,0.0
62,not_started,134,138,4,7,4,3,29.86,89.58
74,not_started,136,143,7,7,4,0,29.86,0.0
63,not_started,138,140,2,2,1,0,298.62,0.0
64,not_started,138,143,5,5,3,0,607.19,0.0
65,not_started,138,143,5,5,3,0,525.57,0.0
75,not_started,143,145,2,2,1,0,298.62,0.0
66,not_started,143,147,4,4,2,0,597.24,0.0
119,not_started,145,165,20,20,10,0,647.01,0.0
127,not_started,145,165,20,20,10,0,647.01,0.0
79,not_started,145,165,20,20,10,0,647.01,0.0
67,not_started,147,151,4,7,4,3,29.86,89.58
68,not_started,151,152,1,2,1,1,298.62,298.62
77,not_started,152,160,8,15,8,7,497.7,3483.9
111,not_started,153,163,10,10,5,0,796.31,0.0
81,not_started,160,185,25,25,13,0,547.47,0.0
112,not_started,163,173,10,10,5,0,796.31,0.0
83,not_started,165,175,10,10,5,0,547.47,0.0
85,not_started,175,180,5,5,3,0,273.73,0.0
4,not_started,181,183,2,2,1,0,1032.72,0.0
5,not_started,183,185,2,2,1,0,1065.07,0.0
82,not_started,185,187,2,2,1,0,547.47,0.0
87,not_started,185,189,4,4,2,0,547.47,0.0
84,not_started,185,190,5,5,3,0,273.73,0.0
93,not_started,185,200,15,25,13,10,497.7,4977.0
96,not_started,185,200,15,15,8,0,497.7,0.0
88,not_started,189,191,2,2,1,0,547.47,0.0
115,not_started,190,200,10,10,5,0,647.01,0.0
89,not_started,191,196,5,5,3,0,547.47,0.0
90,not_started,196,201,5,5,3,0,547.47,0.0
128,not_started,200,210,10,10,5,0,647.01,0.0
129,not_started,200,215,15,15,8,0,647.01,0.0
114,not_started,200,220,20,20,10,0,647.01,0.0
94,not_started,200,225,25,25,13,0,497.7,0.0
91,not_started,201,211,10,10,5,0,647.01,0.0
100,not_started,210,225,15,15,8,0,647.01,0.0
116,not_started,220,235,15,15,8,0,647.01,0.0
120,not_started,220,240,20,20,10,0,647.01,0.0
132,not_started,225,230,5,5,3,0,547.47,0.0
95,not_started,225,235,10,10,5,0,597.24,0.0
101,not_started,225,240,15,15,8,0,647.01,0.0
121,not_started,225,240,15,15,8,0,647.01,0.0
98,not_started,225,240,15,15,8,0,597.24,0.0
133,not_started,230,234,4,4,2,0,273.73,0.0
123,not_started,240,242,2,2,1,0,647.01,0.0
102,not_started,240,250,10,10,5,0,497.7,0.0
99,not_started,240,250,10,20,10,10,447.93,4479.3
122,not_started,240,255,15,15,8,0,647.01,0.0
103,not_started,250,260,10,10,5,0,497.7,0.0
104,not_started,250,260,10,10,5,0,447.93,0.0
107,not_started,250,260,10,10,5,0,447.93,0.0
117,not_started,250,260,10,10,5,0,647.01,0.0
105,not_started,250,265,15,20,10,5,447.93,2239.65
106,not_started,250,265,15,15,8,0,597.24,0.0
130,not_started,250,270,20,20,10,0,647.01,0.0
124,not_started,255,265,10,10,5,0,647.01,0.0
108,not_started,260,270,10,10,5,0,597.24,0.0
134,not_started,265,267,2,4,2,2,298.62,597.24
135,not_started,267,268,1,1,1,0,846.08,0.0
137,not_started,267,270,3,3,2,0,796.31,0.0
138,not_started,270,271,1,1,1,0,895.85,0.0
139,not_started,271,272,1,1,1,0,895.85,0.0
140,not_started,272,273,1,1,1,0,895.85,0.0
141,not_started,273,283,10,10,5,0,558.42,0.0
143,not_started,283,284,1,1,1,0,945.62,0.0
142,not_started,283,285,2,2,1,0,945.62,0.0
144,not_started,285,286,1,1,1,0,936.17,0.0
