activity,status,start,end,duration,normal_duration,min_duration,crash_days,crash_cost_per_day,crash_cost
Bids & Contracts,completed,0,10,10,10,7,0,60.0,0.0
Interior Trim,completed,0,20,20,20,15,0,50.0,0.0
Grading & Building Permits,completed,10,20,10,10,7,0,70.0,0.0
Site Work,not_started,20,27,7,7,5,0,30.0,0.0
Floor Finishes,not_started,20,50,30,30,25,0,130.0,0.0
Foundation,not_started,27,49,22,22,18,0,80.0,0.0
Rough Carpentry,not_started,49,79,30,30,25,0,90.0,0.0
Exterior Finishes,not_started,79,109,30,30,20,0,180.0,0.0
Roofing,not_started,109,139,30,30,25,0,200.0,0.0
Insulation,not_started,139,144,5,5,4,0,30.0,0.0
Concrete Slabs,not_started,139,147,8,8,6,0,40.0,0.0
Drywall,not_started,144,164,20,20,15,0,80.0,0.0
H.V.A.C.,not_started,147,164,17,17,12,0,55.0,0.0
Paint,not_started,164,194,30,30,25,0,110.0,0.0
Plumbing Rough-in,not_started,164,194,30,30,25,0,65.0,0.0
Electric Rough-in,not_started,180,199,19,19,14,0,55.0,0.0
Plumbing Trim,not_started,194,199,5,5,3,0,40.0,0.0
Hardware,not_started,194,206,12,12,8,0,40.0,0.0
Electrical Final Trim,not_started,199,222,23,23,18,0,250.0,0.0
Final Building Inspection,not_started,222,223,1,1,1,0,20.0,0.0
Use & Occupancy Certificate,not_started,223,224,1,1,1,0,10.0,0.0
First Walk-thru,not_started,224,225,1,1,1,0,10.0,0.0
Final Punch-out,not_started,225,234,9,9,6,0,30.0,0.0
Cleaning,not_started,234,248,14,14,10,0,40.0,0.0
Final Walk-through,not_started,248,249,1,1,1,0,0.0,0.0
