alpha,beta,makespan,total_cost
0.0,0.0,344,676209.9909999999
0.0,0.1,344,676209.9909999999
0.0,0.2,337,665786.846
0.0,0.3,324,623350.83
0.0,0.4,315,572635.111
0.0,0.5,310,538932.26
0.0,0.6,291,508082.29000000004
0.0,0.7,286,496129.517
0.0,0.8,275,469580.40599999996
0.0,0.9,258,433058.13100000005
0.1,0.0,342,675638.4909999999
0.1,0.1,342,675638.4909999999
0.1,0.2,333,663011.736
0.1,0.3,316,599918.285
0.1,0.4,308,665821.935
0.1,0.5,304,535933.145
0.1,0.6,290,507301.94999999995
0.1,0.7,277,485228.534
0.1,0.8,270,462702.142
0.1,0.9,253,431476.731
0.2,0.0,321,618599.358
0.2,0.1,315,598215.092
0.2,0.2,315,597683.041
0.2,0.3,305,654571.475
0.2,0.4,288,602723.477
0.2,0.5,300,527521.242
0.2,0.6,264,544532.862
0.2,0.7,267,482694.583
0.2,0.8,261,457496.404
0.2,0.9,250,427535.47199999995
0.3,0.0,310,551463.602
0.3,0.1,301,585153.63
0.3,0.2,293,740568.757
0.3,0.3,285,749686.235
0.3,0.4,270,580224.963
0.3,0.5,258,599643.971
0.3,0.6,277,494608.748
0.3,0.7,261,476224.353
0.3,0.8,247,448136.20200000005
0.3,0.9,238,416579.931
0.4,0.0,288,508560.68999999994
0.4,0.1,284,505794.478
0.4,0.2,268,531680.324
0.4,0.3,281,498931.48899999994
0.4,0.4,277,497713.427
0.4,0.5,265,493381.18000000005
0.4,0.6,247,476171.79799999995
0.4,0.7,240,453487.424
0.4,0.8,224,428165.79799999995
0.4,0.9,218,400479.79799999995
0.5,0.0,268,473755.806
0.5,0.1,263,471307.216
0.5,0.2,261,470314.46900000004
0.5,0.3,260,469050.05000000005
0.5,0.4,257,467326.662
0.5,0.5,242,459619.95999999996
0.5,0.6,230,441765.37
0.5,0.7,221,432596.30000000005
0.5,0.8,213,404510.89599999995
0.5,0.9,214,391389.43999999994
0.6,0.0,247,428922.83200000005
0.6,0.1,247,428922.83200000005
0.6,0.2,247,428922.83200000005
0.6,0.3,242,426512.463
0.6,0.4,237,418776.54500000004
0.6,0.5,222,411861.81700000004
0.6,0.6,212,403074.49399999995
0.6,0.7,215,400192.399
0.6,0.8,209,385533.68299999996
0.6,0.9,211,377531.51
0.7,0.0,242,404402.36600000004
0.7,0.1,239,402395.44299999997
0.7,0.2,229,392261.55000000005
0.7,0.3,219,381542.52300000004
0.7,0.4,217,379872.90099999995
0.7,0.5,214,376200.267
0.7,0.6,209,370763.672
0.7,0.7,208,367329.94700000004
0.7,0.8,208,361364.83700000006
0.7,0.9,208,357705.34199999995
0.8,0.0,220,352439.84900000005
0.8,0.1,216,344800.03799999994
0.8,0.2,216,344789.434
0.8,0.3,213,344053.22699999996
0.8,0.4,210,342259.65
0.8,0.5,207,339767.04799999995
0.8,0.6,207,338386.618
0.8,0.7,206,337310.0
0.8,0.8,209,337845.02800000005
0.8,0.9,206,331167.676
0.9,0.0,211,321206.447
0.9,0.1,209,319963.618
0.9,0.2,209,319769.206
0.9,0.3,206,318603.22900000005
0.9,0.4,206,317967.399
0.9,0.5,206,317339.01399999997
0.9,0.6,209,320149.656
0.9,0.7,206,319279.92299999995
0.9,0.8,206,318066.703
0.9,0.9,209,319486.434
