c_late,c_early,makespan,total_crash_cost,penalty_applied,bonus_applied,net_cost,status,makespan_raw
0.0,0.0,344,0.0,0.0,0.0,0.0,OPTIMAL,1056
0.0,20.2020202020202,344,0.0,0.0,0.0,0.0,OPTIMAL,344
0.0,40.4040404040404,332,358.32,0.0,484.8484848484848,-126.52848484848482,OPTIMAL,332
0.0,60.6060606060606,332,358.32,0.0,727.2727272727273,-368.95272727272726,OPTIMAL,332
0.0,80.8080808080808,332,358.32,0.0,969.6969696969696,-611.3769696969696,OPTIMAL,332
0.0,101.01010101010101,332,358.32,0.0,1212.121212121212,-853.8012121212121,OPTIMAL,332
0.0,121.2121212121212,332,358.32,0.0,1454.5454545454545,-1096.2254545454546,OPTIMAL,332
0.0,141.4141414141414,332,358.32,0.0,1696.9696969696968,-1338.6496969696968,OPTIMAL,332
0.0,161.6161616161616,330,656.94,0.0,2262.6262626262624,-1605.6862626262623,OPTIMAL,330
0.0,181.8181818181818,330,656.94,0.0,2545.4545454545455,-1888.5145454545454,OPTIMAL,330
50.505050505050505,0.0,344,0.0,0.0,0.0,0.0,OPTIMAL,344
50.505050505050505,20.2020202020202,344,0.0,0.0,0.0,0.0,OPTIMAL,344
50.505050505050505,40.4040404040404,332,358.32,0.0,484.8484848484848,-126.52848484848482,OPTIMAL,332
50.505050505050505,60.6060606060606,332,358.32,0.0,727.2727272727273,-368.95272727272726,OPTIMAL,332
50.505050505050505,80.8080808080808,332,358.32,0.0,969.6969696969696,-611.3769696969696,OPTIMAL,332
50.505050505050505,101.01010101010101,332,358.32,0.0,1212.121212121212,-853.8012121212121,OPTIMAL,332
50.505050505050505,121.2121212121212,332,358.32,0.0,1454.5454545454545,-1096.2254545454546,OPTIMAL,332
50.505050505050505,141.4141414141414,332,358.32,0.0,1696.9696969696968,-1338.6496969696968,OPTIMAL,332
50.505050505050505,161.6161616161616,330,656.94,0.0,2262.6262626262624,-1605.6862626262623,OPTIMAL,330
50.505050505050505,181.8181818181818,330,656.94,0.0,2545.4545454545455,-1888.5145454545454,OPTIMAL,330
0.0,606.060606060606,246,41659.92,0.0,59393.93939393939,-17734.019393939394,OPTIMAL,246
0.0,626.2626262626262,244,42874.3,0.0,62626.26262626262,-19751.96262626262,OPTIMAL,244
0.0,646.4646464646464,244,42874.3,0.0,64646.46464646464,-21772.16464646464,OPTIMAL,244
0.0,666.6666666666666,244,42874.3,0.0,66666.66666666666,-23792.366666666654,OPTIMAL,244
0.0,686.8686868686868,244,42874.3,0.0,68686.86868686868,-25812.568686868675,OPTIMAL,244
0.0,707.070707070707,244,42874.3,0.0,70707.0707070707,-27832.770707070697,OPTIMAL,244
0.0,727.2727272727273,244,42874.3,0.0,72727.27272727272,-29852.972727272718,OPTIMAL,244
0.0,747.4747474747475,234,50339.7,0.0,82222.22222222222,-31882.522222222222,OPTIMAL,234
0.0,767.6767676767677,234,50339.7,0.0,84444.44444444444,-34104.74444444444,OPTIMAL,234
0.0,787.8787878787879,234,50339.7,0.0,86666.66666666667,-36326.966666666674,OPTIMAL,234
0.0,202.02020202020202,330,656.94,0.0,2828.282828282828,-2171.342828282828,OPTIMAL,330
0.0,222.2222222222222,330,656.94,0.0,3111.111111111111,-2454.171111111111,OPTIMAL,330
0.0,242.4242424242424,330,656.94,0.0,3393.9393939393935,-2736.9993939393935,OPTIMAL,330
0.0,262.6262626262626,330,656.94,0.0,3676.767676767676,-3019.827676767676,OPTIMAL,330
0.0,282.8282828282828,330,656.94,0.0,3959.5959595959594,-3302.6559595959593,OPTIMAL,330
0.0,303.030303030303,326,1851.42,0.0,5454.545454545454,-3603.125454545454,OPTIMAL,326
0.0,323.2323232323232,326,1851.42,0.0,5818.181818181818,-3966.761818181818,OPTIMAL,326
0.0,343.4343434343434,326,1851.42,0.0,6181.818181818182,-4330.398181818182,OPTIMAL,326
0.0,363.6363636363636,323,2896.59,0.0,7636.363636363636,-4739.773636363636,OPTIMAL,323
0.0,383.83838383838383,318,4762.94,0.0,9979.797979797979,-5216.857979797979,OPTIMAL,318
0.0,808.0808080808081,234,50339.7,0.0,88888.88888888889,-38549.18888888889,OPTIMAL,234
0.0,828.2828282828282,234,50339.7,0.0,91111.1111111111,-40771.4111111111,OPTIMAL,234
0.0,848.4848484848484,233,51185.78,0.0,94181.81818181818,-42996.03818181818,OPTIMAL,233
