alpha,beta,c_early,c_late,T_max,makespan,total_cost,net_cost
0.1,0.7,2000,5000,250,262.6513652100881,619160.1556110806,619160.1556110806
0.2,0.7,2000,5000,250,250.00110302778822,595628.7406245454,595628.7406245454
0.3,0.7,2000,5000,250,249.99934247190396,575894.3807618931,575894.3807618931
0.4,0.7,2000,5000,250,239.5188812674048,563284.6562919565,563284.6562919565
0.5,0.7,2000,5000,250,229.2167341598618,545623.116539897,545623.116539897
0.6,0.7,2000,5000,250,220.05424834891215,518183.92176096607,518183.92176096607
0.7,0.7,2000,5000,250,215.6296892339585,494165.68881718966,494165.68881718966
0.8,0.7,2000,5000,250,214.86038100343146,477385.8563271685,477385.8563271685
0.9,0.7,2000,5000,250,212.56138927292253,466257.52253330336,466257.52253330336
1.0,0.7,2000,5000,250,210.63848767273245,451906.2505421187,451906.2505421187
