alpha,beta,c_early,c_late,T_max,makespan,total_cost,net_cost
0.7,0.1,2000,5000,250,263.0724569638347,580645.7499471402,580645.7499471402
0.7,0.2,2000,5000,250,253.6810226570122,570442.4760534072,570442.4760534072
0.7,0.3,2000,5000,250,250.0001212457692,546529.9793830657,546529.9793830657
0.7,0.4,2000,5000,250,246.8566275244253,534868.1953584786,534868.1953584786
0.7,0.5,2000,5000,250,231.99808166518076,521534.7785134402,521534.7785134402
0.7,0.6,2000,5000,250,223.2743867296464,507986.7347541674,507986.7347541674
0.7,0.7,2000,5000,250,215.6296892339585,494165.68881718966,494165.68881718966
0.7,0.8,2000,5000,250,211.14551382171746,481883.314632965,481883.314632965
0.7,0.9,2000,5000,250,206.80357109553785,468690.4905252659,468690.4905252659
0.7,1.0,2000,5000,250,202.9006493857024,453213.8449503343,453213.8449503343
