alpha,beta,c_early,c_late,T_max,makespan,total_cost,net_cost
0.7,0.7,0.0,5000,250,249.99831322825938,524356.4446643925,524356.4446643925
0.7,0.7,500.0,5000,250,249.99764703902719,523639.96690953546,523639.96690953546
0.7,0.7,1000.0,5000,250,234.88162173660368,521861.9990062547,521861.9990062547
0.7,0.7,1500.0,5000,250,222.0046287909821,510008.24964254565,510008.24964254565
0.7,0.7,2000.0,5000,250,215.6296892339585,494165.68881718966,494165.68881718966
0.7,0.7,2500.0,5000,250,215.72818078122677,480463.1091154225,480463.1091154225
0.7,0.7,3000.0,5000,250,213.94901100670228,459284.00620780233,459284.00620780233
0.7,0.7,3500.0,5000,250,212.91404940509383,441020.1375956499,441020.1375956499
0.7,0.7,4000.0,5000,250,211.84860685338663,418891.7431040569,418891.7431040569
0.7,0.7,4500.0,5000,250,211.64103887675782,399408.2324695948,399408.2324695948
0.7,0.7,5000.0,5000,250,211.53046104595018,380965.3647133356,380965.3647133356
