alpha,beta,c_early,c_late,T_max,makespan,total_cost,net_cost
0.7,0.7,2000,0.0,250,354.999578758154,491530.1833006026,491530.1833006026
0.7,0.7,2000,250.0,250,295.88841888873,523900.25275960914,523900.25275960914
0.7,0.7,2000,500.0,250,273.47929896299473,518228.00685143616,518228.00685143616
0.7,0.7,2000,750.0,250,210.78098441900622,501093.8331221865,501093.8331221865
0.7,0.7,2000,1000.0,250,218.21096021066828,494792.4116707692,494792.4116707692
0.7,0.7,2000,1500.0,250,217.22979718857968,496462.3989006791,496462.3989006791
0.7,0.7,2000,2000.0,250,216.75535090598055,496191.0815279852,496191.0815279852
0.7,0.7,2000,2500.0,250,216.61874924037127,496124.05901811295,496124.05901811295
0.7,0.7,2000,3000.0,250,217.52344068334023,496062.75786022405,496062.75786022405
0.7,0.7,2000,3500.0,250,217.0781177956894,496216.8600391975,496216.8600391975
0.7,0.7,2000,4000.0,250,216.66697523002213,497417.27583136206,497417.27583136206
0.7,0.7,2000,4500.0,250,217.037423794762,496074.2180905696,496074.2180905696
0.7,0.7,2000,5000.0,250,215.6296892339585,494165.68881718966,494165.68881718966
