alpha,makespan,labor_cost
0.3,246.32920301199047,723844.7094732316
0.3,264.8442726461502,687495.1397750963
0.3,244.59271766356392,733763.93013912
0.3,256.30576238609797,697772.4217941869
0.3,246.56659087152607,720763.31376227
0.3,265.1326812113594,685400.5860297082
0.3,257.5191671610553,694385.8099018066
0.3,249.92306416510806,709775.0636271047
0.3,248.22941923413282,716037.4138463704
0.3,241.8335703261137,742717.811913034
0.3,250.57376891186675,709670.8702032221
0.3,256.072565408651,702473.5646643906
0.3,271.87202476916616,677231.740687235
0.3,252.71430557622622,704513.0688721549
0.3,243.21352239215463,734144.790241762
0.3,246.38060636297436,721494.884021214
0.3,248.23084893270726,716037.3160581012
0.3,244.82670834356028,726804.5289879364
0.3,268.54917896322615,681791.1685630041
0.3,263.5871623245126,690182.5838453956
0.3,252.29891756796872,707197.4467172591
0.3,241.43807305372877,746234.5978664582
0.3,265.09778495310513,685424.9759340605
0.3,277.00950534374687,671453.9236094409
0.3,259.93528697448085,692615.0392407047
0.3,272.17380404454127,671491.9254852453
0.3,256.6805516284685,695661.0429889797
0.3,247.18268229110762,720037.67317018
0.3,257.0503415505235,695083.6222765455
0.3,251.42074728317593,709165.9766097991
0.3,244.73655073178196,730393.476220897
0.3,242.9936863922976,740127.0837762416
0.3,265.3589567148546,684699.4541614542
0.3,261.59788441455345,692386.9972862782
0.3,271.52711519705485,680983.8409510059
0.6,216.3265847332039,658160.89519826
0.6,231.21393145296935,639637.5011875834
0.6,217.38675497594045,657966.7510492834
0.6,226.24353329159476,644337.6448980321
0.6,236.1056578094586,637082.1221185285
0.6,227.40276043247124,641667.5273872267
0.6,216.95723191525494,658026.4479216302
0.6,213.14835092611716,666209.5526589386
0.6,212.23922494881936,669353.1649250239
0.6,224.78923038780167,646384.1265795792
0.6,212.51996948712983,668190.7504806516
0.6,229.29496869397772,640935.5450099513
0.6,218.12925231196436,654215.6364994233
0.6,225.74989105276418,645927.6174691473
0.6,212.8685145814248,667397.4882738406
0.6,216.17394810177558,661837.2183167972
0.6,220.20945889905371,652024.8205932688
0.6,227.28662658047253,642929.7986590215
0.6,210.55156487882005,677161.2681095903
0.6,235.04125606138274,637761.053237057
0.6,219.10303344160295,653095.1182268391
0.6,234.3091799443856,638255.8466863567
0.6,211.45797830631943,670383.5556305596
0.6,214.9502935990418,664080.2553714772
0.6,221.47742133904498,647943.331082945
0.9,242.02983379392214,609195.0478433415
