beta,makespan,labor_cost
0.3,227.50088837441717,679035.9866026072
0.3,229.28182478231489,670702.4493247847
0.3,233.4237305763585,659321.3807227158
0.3,228.76885703854495,672075.6548387194
0.3,228.28221337614198,675331.876299495
0.3,224.62045514321102,689752.1658804326
0.3,223.8839402028794,698265.2846001689
0.3,234.42163580917895,658485.4479081737
0.3,232.3176156255644,663987.9442145226
0.3,231.5187123376702,664071.7992466795
0.3,232.7006109208604,660316.9946734746
0.3,235.99154008177612,657267.454659814
0.3,225.9968175773087,680292.0756888423
0.3,228.26553148141514,677065.7821180875
0.3,224.94522180619754,683408.854308561
0.3,239.60639540142492,655648.6283458491
0.3,222.60958951233948,698856.6250151673
0.3,229.49101153679956,668328.9049798131
0.3,227.0286705981494,679285.3981012988
0.3,224.2797022703143,689901.3911372026
0.3,224.22779444607818,691036.09977927
0.3,225.21444848918642,681280.9931420407
0.3,236.19326743645746,656458.6687286044
0.3,226.5285960491531,680057.0894175344
0.3,230.10870142994244,664254.3435107113
0.3,223.83705601122986,698793.5058813738
0.6,209.78479198425188,660451.7812391184
0.6,208.19957608291728,666971.6446857115
0.6,208.28337333313019,665974.003925291
0.6,208.781529721828,662880.8942346614
0.6,215.03786957084125,651056.641899908
0.6,212.54277017764224,654631.2887622315
0.6,216.47318826406047,646977.7658467368
0.6,227.1047061226345,634819.0866756741
0.6,216.33404977537302,648152.8475177512
0.6,212.9788728538421,652420.1393038856
0.6,208.43106163874066,663240.0413264849
0.6,211.55376029801832,660213.9933395489
0.6,230.13856086923164,633971.630526293
0.6,211.81038548943187,658222.0599052238
0.6,211.76513440413808,658271.3770607305
0.6,220.91818052510757,641466.7383462624
0.6,237.0605088705279,633343.7084287119
0.6,207.71204180992967,674782.9615802492
0.6,238.75829049213417,629779.0072250052
0.6,226.21685032858028,638470.2985048366
0.6,236.15390494450492,633888.2959137578
0.6,211.81414468874607,655181.0054008077
0.6,218.57974331014006,646549.3222612601
0.6,218.71193311997118,641864.9741339491
0.6,237.64154968068968,633081.9085353706
0.6,215.85386470574758,648925.4384691967
0.6,221.75712641207886,641132.7105942147
0.6,237.90025957206146,631929.7889625086
0.9,225.25219340398104,623421.4976951117
0.9,224.73966193527642,623814.01057335
0.9,226.21320357778347,622629.1881793204
0.9,225.4462230898467,623165.9317185613
0.9,238.4061993774106,612132.7347706443
0.9,231.70249194771154,615923.0863450626
0.9,240.59105614385138,611098.5734350787
0.9,226.79599898815334,622048.6414254215
0.9,226.91424599372172,620158.5216957886
0.9,236.87314660784713,613932.8218167261
0.9,226.96327731973142,618905.6969021993
0.9,237.21395278413516,612771.029164769
0.9,231.5199233762802,616427.9922389864
0.9,224.69135262705626,630189.1320266393
0.9,232.0017858782335,614208.6392351924
0.9,224.90523714543116,623609.381567411
0.9,239.12272931649,611715.5717479719
