alpha,makespan,labor_cost,total_cost
0.3,281.5423999631722,530746.8842786558,530746.8842786558
0.3,253.01110637939536,576614.2335283163,576614.2335283163
0.3,253.02107287131884,576612.4481488436,576612.4481488436
0.3,272.6209704464974,542351.0579274541,542351.0579274541
0.3,245.4714625767611,598372.472918572,598372.472918572
0.3,264.11542317751025,555483.5744978375,555483.5744978375
0.3,271.6488512743574,544271.8231275037,544271.8231275037
0.3,272.6209704464974,542351.0579274541,542351.0579274541
0.3,266.9808031766455,551104.900241343,551104.900241343
0.3,261.86632857731905,558924.1312598928,558924.1312598928
0.3,244.5969907142164,601278.8549025081,601278.8549025081
0.3,266.75284840547585,551267.7851851147,551267.7851851147
0.3,272.6209704464974,542351.0579274541,542351.0579274541
0.3,286.8577089499296,524625.525299473,524625.525299473
0.3,272.6665825610226,542278.8777385233,542278.8777385233
0.3,242.89611690231976,608886.0531198609,608886.0531198609
0.3,256.91936319354147,567372.079262224,567372.079262224
0.3,288.7914139094395,522387.6688755374,522387.6688755374
0.3,243.15285397122372,607615.788675973,607615.788675973
0.3,265.75893629512115,552636.6472330583,552636.6472330583
0.3,272.1598968687362,543393.6082145174,543393.6082145174
0.3,266.37319565466777,551899.4719191915,551899.4719191915
0.3,245.76318061490537,596343.0583882885,596343.0583882885
0.3,261.86632857731905,558924.1312598928,558924.1312598928
0.3,288.5759427526109,522542.5452001039,522542.5452001039
0.3,271.9009283060656,543867.3987094323,543867.3987094323
0.3,253.02107287131884,576612.4481488436,576612.4481488436
0.3,257.0644688517946,567270.1534131118,567270.1534131118
0.3,266.75284840547585,551267.7851851147,551267.7851851147
0.3,266.54888483016583,551564.4519639306,551564.4519639306
0.3,264.1065651478307,555817.5767146086,555817.5767146086
0.3,245.91546591756185,595887.4319365519,595887.4319365519
0.3,272.57573459918143,542509.4254796717,542509.4254796717
0.3,255.302972099401,570958.2396939181,570958.2396939181
0.3,273.0221652090189,541749.3823506646,541749.3823506646
0.3,281.5423999631722,530746.8842786558,530746.8842786558
0.3,273.45477205558893,541154.5447238418,541154.5447238418
0.3,261.8739441327013,558857.5439425142,558857.5439425142
0.3,275.758385106252,538262.4095658374,538262.4095658374
0.3,262.228435319164,557848.8907579395,557848.8907579395
0.3,252.94296034037436,576630.1093043229,576630.1093043229
0.3,243.38380341063328,605651.7003494585,605651.7003494585
0.3,266.455633897852,551630.3785103451,551630.3785103451
