beta,makespan,labor_cost,total_cost
0.6,226.48695008546758,562222.5715975068,562222.5715975068
0.6,226.48695008546758,562222.5715975068,562222.5715975068
0.6,224.13368015851967,568776.865240188,568776.865240188
0.6,249.49939817811858,530737.6941499449,530737.6941499449
0.6,249.1307197543174,531320.5271266154,531320.5271266154
0.6,274.62951708731936,510260.91840293206,510260.91840293206
0.6,252.46344278880636,527477.9351671817,527477.9351671817
0.6,226.61881812042046,561738.9699789137,561738.9699789137
0.6,242.8921272218951,537867.016024212,537867.016024212
0.6,235.49896788048872,547210.0139991265,547210.0139991265
0.6,226.60620043860445,561822.4698495478,561822.4698495478
0.6,254.16272411789157,525679.8508677457,525679.8508677457
0.6,261.02750661238014,518606.2363489235,518606.2363489235
0.6,226.60620043860445,561822.4698495478,561822.4698495478
0.6,224.00751808726793,568994.7787841209,568994.7787841209
0.6,242.85910688054807,537919.5591328836,537919.5591328836
0.6,226.47667262933783,562233.8635916726,562233.8635916726
0.6,250.20372891860916,529974.243198525,529974.243198525
0.6,235.8992537924105,546609.9839436987,546609.9839436987
0.6,242.8921272218951,537867.016024212,537867.016024212
0.6,244.22588548253876,536361.9284272911,536361.9284272911
0.6,262.97406216417147,517286.55676749547,517286.55676749547
0.6,225.58784524803312,563766.86571739,563766.86571739
0.6,271.5894969094062,511951.18658018066,511951.18658018066
0.6,261.25331764872533,518494.7317439715,518494.7317439715
0.6,235.86366336576265,546643.698851976,546643.698851976
0.6,236.4267742944693,546085.9554082302,546085.9554082302
0.6,233.113959497067,550431.7192771898,550431.7192771898
0.6,250.1344012795337,530043.5510949931,530043.5510949931
0.6,261.4014814698703,518418.2302674893,518418.2302674893
0.6,258.8574027885229,520764.4518949188,520764.4518949188
0.6,227.92377941773688,558980.2501052401,558980.2501052401
0.6,244.19843201090248,536365.7734143216,536365.7734143216
0.6,225.47402711138704,564038.6981944425,564038.6981944425
0.6,224.2276719918185,567631.6486618373,567631.6486618373
0.6,237.58148252707514,544560.9436327734,544560.9436327734
0.6,269.58352906040284,512942.61063121737,512942.61063121737
0.6,250.20512306375613,529972.6391032508,529972.6391032508
0.6,273.31753778763255,511023.5998176633,511023.5998176633
0.6,254.16272411789157,525679.8508677457,525679.8508677457
0.6,260.10436745669637,519477.79502083163,519477.79502083163
0.6,236.19871794023794,546366.5338704785,546366.5338704785
0.6,261.4094499744096,518312.9945161548,518312.9945161548
0.6,256.2163037671401,523555.76088525826,523555.76088525826
0.6,236.5834858542798,546007.6710489618,546007.6710489618
