alpha,beta,c_early,c_late,T_max,makespan,total_cost,net_cost
0.1,0.3,2000,5000,250,308.3283701496081,863528.3491952845,863528.3491952845
0.1,0.5,2000,5000,250,283.6658721203847,741546.0638413162,741546.0638413162
0.1,0.6,2000,5000,250,273.2186395822632,681108.0708535775,681108.0708535775
0.1,0.4,2000,5000,250,295.8166689802298,803343.2845330437,803343.2845330437
0.1,0.1,2000,5000,250,333.21100869756367,943963.2567797985,943963.2567797985
0.1,0.2,2000,5000,250,321.92873062043213,915706.8890187356,915706.8890187356
0.1,0.7,2000,5000,250,262.80003159258587,622006.0445031925,622006.0445031925
0.1,0.9,2000,5000,250,245.07781160342088,527857.6800281948,527857.6800281948
0.1,0.8,2000,5000,250,253.50051541567657,567384.7001815458,567384.7001815458
0.2,0.1,2000,5000,250,311.5350524270654,869564.7021325033,869564.7021325033
0.1,1.0,2000,5000,250,236.30034165786316,501226.6731686792,501226.6731686792
0.2,0.2,2000,5000,250,307.663643273514,862904.219427162,862904.219427162
0.2,0.3,2000,5000,250,293.8228259222755,837275.8720722783,837275.8720722783
0.2,0.4,2000,5000,250,279.6239495577755,777957.2669573411,777957.2669573411
0.2,0.7,2000,5000,250,250.00868910821316,597350.4692904641,597350.4692904641
0.2,0.5,2000,5000,250,269.08905477348725,717970.6968627691,717970.6968627691
0.2,0.6,2000,5000,250,257.6081725666577,654994.1537884763,654994.1537884763
0.2,0.8,2000,5000,250,249.99447111362124,554172.0052432461,554172.0052432461
0.2,0.9,2000,5000,250,243.123889252994,525765.7213388779,525765.7213388779
0.3,0.1,2000,5000,250,305.02865178456267,817276.1955293242,817276.1955293242
0.2,1.0,2000,5000,250,233.60217305221792,498506.9745511246,498506.9745511246
0.3,0.3,2000,5000,250,280.8494256019809,779464.7783382573,779464.7783382573
0.3,0.2,2000,5000,250,299.42564971271787,810651.0422516677,810651.0422516677
0.3,0.4,2000,5000,250,267.9912881380342,729686.9756763539,729686.9756763539
0.3,0.5,2000,5000,250,257.285913994127,671942.3012410096,671942.3012410096
0.3,0.7,2000,5000,250,249.96721142445452,577329.2076235277,577329.2076235277
0.3,0.6,2000,5000,250,249.99519673421676,618175.9534012224,618175.9534012224
0.3,0.9,2000,5000,250,236.29675260731145,522093.18797960965,522093.18797960965
0.3,1.0,2000,5000,250,226.73919234633433,494350.0881302074,494350.0881302074
0.3,0.8,2000,5000,250,246.92246177245144,549871.7047357952,549871.7047357952
0.4,0.1,2000,5000,250,294.09468087004234,758579.8655516797,758579.8655516797
0.4,0.3,2000,5000,250,267.580603958903,710221.0413491268,710221.0413491268
0.4,0.4,2000,5000,250,257.76030198725954,666975.574999591,666975.574999591
0.4,0.2,2000,5000,250,285.3626628405207,745739.8798982201,745739.8798982201
0.4,0.5,2000,5000,250,249.98849217736415,621373.2108464243,621373.2108464243
0.4,0.6,2000,5000,250,246.00030725017734,593226.7337758064,593226.7337758064
0.4,0.9,2000,5000,250,222.23652710594703,511285.99720745743,511285.99720745743
0.4,0.8,2000,5000,250,230.79802161201496,537567.5648057506,537567.5648057506
0.4,0.7,2000,5000,250,240.25758865130175,565456.5758641291,565456.5758641291
0.4,1.0,2000,5000,250,211.96326201742124,485079.6405418548,485079.6405418548
0.5,0.1,2000,5000,250,282.536433008712,694028.3312455206,694028.3312455206
0.5,0.2,2000,5000,250,274.39698394341593,687591.6819291962,687591.6819291962
0.5,0.3,2000,5000,250,257.71067728109256,645626.1281890478,645626.1281890478
0.5,0.4,2000,5000,250,249.96804444724057,607221.4525690173,607221.4525690173
0.5,0.5,2000,5000,250,249.65172393764706,583343.0619262184,583343.0619262184
0.5,0.6,2000,5000,250,237.2934814336783,566961.8721772506,566961.8721772506
0.5,0.7,2000,5000,250,229.8780320013482,546282.526817153,546282.526817153
0.5,0.8,2000,5000,250,220.5902532279623,521243.5810069726,521243.5810069726
0.5,1.0,2000,5000,250,207.0105698872082,474199.94334414444,474199.94334414444
0.5,0.9,2000,5000,250,212.866822328452,496057.20890835155,496057.20890835155
0.6,0.1,2000,5000,250,272.57306196873753,636763.1658300684,636763.1658300684
