alpha,beta,c_early,c_late,T_max,makespan,total_cost,net_cost
0.7,0.7,2500.0,0.0,250,361.727862225448,491631.80284503335,491631.80284503335
0.7,0.7,0.0,0.0,250,354.6920282228011,491607.559487769,491607.559487769
0.7,0.7,500.0,0.0,250,361.28461952033825,491618.9045074258,491618.9045074258
0.7,0.7,1500.0,0.0,250,370.8214152933572,491610.9943725603,491610.9943725603
0.7,0.7,1000.0,0.0,250,370.1847516990892,491657.8475663924,491657.8475663924
0.7,0.7,2000.0,0.0,250,361.76570768131023,491610.0848504073,491610.0848504073
0.7,0.7,3000.0,0.0,250,364.78421915570783,491608.755359638,491608.755359638
0.7,0.7,3500.0,0.0,250,361.5800669446013,491594.9171050907,491594.9171050907
0.7,0.7,0.0,500.0,250,267.8070123298768,519486.44609102973,519486.44609102973
0.7,0.7,5000.0,0.0,250,369.74565916386456,491622.0079897514,491622.0079897514
0.7,0.7,4500.0,0.0,250,394.39654278572175,491633.15252208203,491633.15252208203
0.7,0.7,4000.0,0.0,250,347.8319101633636,491597.3193130287,491597.3193130287
0.7,0.7,1000.0,500.0,250,267.89480392104764,519595.3843234977,519595.3843234977
0.7,0.7,500.0,500.0,250,267.99373822508886,519379.47969574435,519379.47969574435
0.7,0.7,1500.0,500.0,250,268.0218989049319,519136.1535514241,519136.1535514241
0.7,0.7,2500.0,500.0,250,269.22346300497173,519109.1613475056,519109.1613475056
0.7,0.7,2000.0,500.0,250,267.8561895907319,519541.926472353,519541.926472353
0.7,0.7,3000.0,500.0,250,268.3140112248584,519559.2188314013,519559.2188314013
0.7,0.7,3500.0,500.0,250,269.9371241910856,519145.594017905,519145.594017905
0.7,0.7,4000.0,500.0,250,269.1706800099625,519394.8842742689,519394.8842742689
0.7,0.7,500.0,1000.0,250,250.00181401297314,524567.8593732143,524567.8593732143
0.7,0.7,4500.0,500.0,250,267.8739207985125,519173.53622972744,519173.53622972744
0.7,0.7,5000.0,500.0,250,267.25854842204035,519555.87505807605,519555.87505807605
0.7,0.7,0.0,1000.0,250,250.00340667139457,524695.1278035603,524695.1278035603
0.7,0.7,1500.0,1000.0,250,224.46971549524716,512900.64396404184,512900.64396404184
0.7,0.7,2000.0,1000.0,250,217.72456392281973,499087.3279741687,499087.3279741687
0.7,0.7,3000.0,1000.0,250,215.11111621098757,463923.45708352566,463923.45708352566
0.7,0.7,2500.0,1000.0,250,216.68582677598008,482671.63861689414,482671.63861689414
0.7,0.7,1000.0,1000.0,250,238.8729754565258,524155.1020955723,524155.1020955723
0.7,0.7,3500.0,1000.0,250,214.70684988522845,445683.71314366534,445683.71314366534
0.7,0.7,4000.0,1000.0,250,213.3641408291907,424383.7619348918,424383.7619348918
0.7,0.7,0.0,1500.0,250,250.0053001238074,525089.2794491008,525089.2794491008
0.7,0.7,5000.0,1000.0,250,213.44162017857107,387941.03483074624,387941.03483074624
0.7,0.7,500.0,1500.0,250,249.99795700731,525077.4856238354,525077.4856238354
0.7,0.7,4500.0,1000.0,250,213.32533264895847,406240.718621347,406240.718621347
0.7,0.7,1000.0,1500.0,250,235.08884067460943,522756.7995100558,522756.7995100558
0.7,0.7,1500.0,1500.0,250,224.8150146569372,514463.6471041185,514463.6471041185
0.7,0.7,2000.0,1500.0,250,219.58707897064164,499342.38638901175,499342.38638901175
0.7,0.7,2500.0,1500.0,250,216.96759335656407,483228.4690068962,483228.4690068962
0.7,0.7,3500.0,1500.0,250,213.4527853613812,444018.241188455,444018.241188455
0.7,0.7,3000.0,1500.0,250,216.03253429825705,465712.2392563829,465712.2392563829
0.7,0.7,4000.0,1500.0,250,213.41328775346443,425295.60483222536,425295.60483222536
0.7,0.7,4500.0,1500.0,250,213.14069328164217,407949.8393362386,407949.8393362386
0.7,0.7,0.0,2000.0,250,250.00084570794553,525157.5716989103,525157.5716989103
0.7,0.7,5000.0,1500.0,250,212.65757026384023,388041.7080462669,388041.7080462669
0.7,0.7,500.0,2000.0,250,249.973713347387,524857.6588192439,524857.6588192439
0.7,0.7,1000.0,2000.0,250,234.47703111426705,523789.5631568327,523789.5631568327
0.7,0.7,1500.0,2000.0,250,223.02994380998797,513143.35045195825,513143.35045195825
0.7,0.7,2000.0,2000.0,250,219.4028623959661,499330.85604753793,499330.85604753793
0.7,0.7,2500.0,2000.0,250,216.18892100823874,480573.3145802011,480573.3145802011
0.7,0.7,3000.0,2000.0,250,213.7519931729596,460295.0904069,460295.0904069
0.7,0.7,3500.0,2000.0,250,214.2218080232704,446194.9483862952,446194.9483862952
0.7,0.7,4000.0,2000.0,250,212.40121487874927,422733.0366348387,422733.0366348387
0.7,0.7,4500.0,2000.0,250,212.56442446766454,404198.9720804138,404198.9720804138
0.7,0.7,5000.0,2000.0,250,212.42261103149366,386152.0879254972,386152.0879254972
0.7,0.7,0.0,2500.0,250,249.99895897872105,526966.803908108,526966.803908108
0.7,0.7,500.0,2500.0,250,249.9906834903079,525187.3879048284,525187.3879048284
