alpha,makespan,labor_cost
0.3,223.52554113370138,674028.4903884442
0.3,227.20187137247373,655424.2342164891
0.3,225.8798700464831,662319.981980336
0.3,224.25028137560696,670846.8806573745
0.3,221.92267385635307,683502.867459838
0.3,220.73487719433876,690585.5796170769
0.3,222.40631251505312,681255.301506454
0.3,224.46663543276904,670286.8157866661
0.3,223.53797568262962,673926.6054591183
0.3,222.9593122727018,676194.558904566
0.3,261.3279482940323,572255.6450197641
0.3,261.3804499486187,572172.4461407084
0.3,222.938888438669,676288.2279547378
0.3,230.9575855643358,639241.6976858757
0.3,223.1359399855774,675903.1394699173
0.3,221.16013777126204,688796.8964387267
0.3,239.59325193312145,612467.5726060148
0.3,223.96952708974402,672047.9541500239
0.3,224.69297249229197,669787.3817913325
0.3,223.09017596799234,676146.20558863
0.3,224.29330865855283,670833.3608310926
0.3,227.16982092664546,655486.5819136053
0.3,232.88501744225366,631322.050412299
0.3,221.92124885657967,683530.7566766179
0.3,233.56090400026164,628866.044016243
0.3,224.11031575586682,671021.1508477072
0.3,227.02511425186418,656444.6512015891
0.3,240.14945436205983,610807.641203976
0.3,224.81569282955581,667304.0317715292
0.3,243.16071345642564,603685.0404775531
0.3,241.80372479901973,606953.1913618286
0.3,232.70165581217057,632198.2438322719
0.3,244.78785119892893,600120.478328495
0.3,228.32156999739266,650259.8595142083
0.3,225.29753847684816,665033.745422694
0.3,221.54335615090247,686910.3490615408
0.3,229.5926772771168,645114.930243291
0.3,222.1198092218568,681992.3567029275
0.3,235.46849492382194,623234.6343752162
0.3,221.07103943656526,689078.2429629683
0.3,258.7560872211383,576934.1399454313
0.3,237.84762357946525,617207.0572288511
0.3,226.1471770790018,659616.1746149897
0.3,259.8134406574159,574711.9270631203
0.3,244.80290257900282,600025.2888847601
0.3,268.499498775966,566089.241298515
0.3,221.59485695476764,686824.6360272337
0.3,224.09044115777974,671495.5351652331
0.3,254.6827454961015,581721.514887854
0.3,223.46706090703518,674171.5269320982
0.3,245.67231813397433,597781.6986599956
0.3,239.6314668911483,612408.1849904434
0.3,226.26054163163448,659441.7828481945
0.3,224.18275334910393,670980.7183944313
0.3,231.64073799311865,635798.2854143076
0.3,229.65176377639702,644693.1041393115
0.3,228.39937927025434,650137.3779130165
0.3,251.65468925142542,586418.092033461
0.3,239.51492761234576,612631.9428499686
0.3,235.46785171349885,623270.0618472112
0.3,246.2838531912255,596258.8558446384
0.3,229.60367581496592,644748.3483406836
0.3,231.76361849257526,635797.4159512544
0.3,224.35964333507408,670799.9345476448
0.3,226.96329626800667,656519.5378426902
0.3,238.64480949237372,614645.3900354013
0.3,220.7124143076886,690673.9303222483
0.3,221.05933078619242,689109.271953013
0.3,259.81391652275516,574711.7141118106
0.3,221.36039535116316,688087.4275934594
0.3,238.5600256473742,614697.8398814176
0.3,241.75574621877206,607159.062292414
0.3,221.9690080688164,682262.4472435561
0.3,220.62632124745906,690752.4195982444
0.3,223.50032209114121,674091.7524910618
0.3,225.96697122671708,661448.0499665809
0.3,254.077712793958,582416.4375546956
0.3,231.78958018596168,634883.2491883953
0.3,246.71875964333938,595944.7271828686
0.3,224.25015716006797,670899.3522711156
0.3,241.81413253341853,606945.5845027285
0.3,238.44800993494533,615055.4287259084
0.3,232.98261506570472,631259.1951498752
0.3,221.9606857935851,683053.9375977039
0.3,241.80347410902482,607042.9682937843
0.3,223.99336168377303,671784.3517036609
0.3,252.43253960345473,585118.2849900802
