beta,makespan,labor_cost
0.3,237.1772629451466,541249.4638386716
0.3,195.18710613483225,626409.113635448
0.3,236.2987544539137,541347.7905304222
0.3,234.19510266989295,542193.5944422344
0.3,233.59110556386665,542391.6832953749
0.3,232.82850749954594,542444.0078887729
0.3,195.39557509152814,623767.1056400338
0.3,231.66637386534399,542960.578540337
0.3,195.3860926310178,625197.3645433802
0.3,221.68801049537092,549579.6644286821
0.3,237.16498012958454,541341.8482102677
0.3,202.40719845792785,587119.6310103005
0.3,218.5924416583554,552167.8477049256
0.3,218.2198114621422,552219.9453365549
0.3,218.008489729902,552696.4075022462
0.3,219.63912119340944,550972.708974214
0.3,197.15516309553544,611865.4313278719
0.3,232.15015837591292,542654.6657346534
0.3,209.24977864534247,562842.3673949591
0.3,232.75023787679677,542566.7388943448
0.3,231.2826133583185,543058.0638623055
0.3,221.0227085832945,549629.5694374675
0.3,235.31955126319966,541738.9544637648
0.3,211.59247293797054,558907.2816747208
0.3,213.38299505839467,556879.184674355
0.3,233.7108125730959,542346.6947041898
0.3,213.89753108582244,556708.2643516087
0.3,225.26275399655722,546696.939202497
0.3,219.0399253052827,552130.6007405063
0.3,215.93210424587963,554541.9085680917
0.3,211.98353880523675,558893.5701820415
0.3,197.01777567176592,613281.3115260461
0.3,224.4472910729601,547374.5732392963
0.3,235.74597463154728,541386.0349745983
0.3,195.6315820144933,622035.026250147
0.3,234.9176539093282,541803.2292002194
0.3,230.64656471629698,543475.5801386721
0.3,195.55855194649095,622583.800931617
0.3,215.1966714284108,555260.3572416615
0.3,223.99204437517164,547464.8231625853
0.3,229.0249737912352,544225.9012991374
0.3,229.9140930311013,543671.5764574994
0.3,220.09172517695634,550829.1596652567
0.3,235.6458519188978,541726.1513862528
0.3,209.46973540057206,562470.3017440538
0.3,230.39928882128797,543670.7768701789
0.3,214.4599820050333,556161.865910124
0.3,209.59011634578548,561848.4987789096
0.3,215.49484122919267,554751.6235982822
0.3,220.38052668503556,550258.470674186
0.3,197.78757874184103,608670.8834895117
0.3,202.30471867142262,587940.0638722328
0.3,224.49775437103835,547257.3750204744
0.3,195.33009027866902,625809.550714233
0.3,229.46482401557046,543947.2042291457
0.3,225.70830947088882,546689.0502489691
0.3,211.21939769099944,559547.4247195461
0.3,210.4892879674676,560850.286900336
0.3,207.89465368289046,566500.864554452
0.3,223.46393910013626,547954.3850834721
0.3,211.01958043369427,559733.9192494415
0.3,217.5695296943447,553061.7997276199
0.3,217.2626314943758,553085.0851469408
0.3,196.497136974922,617158.3592227956
0.3,202.88853116770565,585720.5248183975
0.3,217.0917344279892,553140.6960407057
0.3,223.38910126961235,548143.8700923929
0.3,223.81043898295434,547927.9494780671
0.3,229.74301140434636,543744.5077058611
0.3,216.90767454922502,553392.5856752848
0.3,196.6604231664374,614865.1538306846
0.3,210.29735120865715,561142.5764901503
0.3,197.29604086012054,611189.2827380956
0.3,232.04271114653736,542751.4855861133
0.3,198.54424936369273,605507.9774991844
0.3,234.79630122923922,541875.2024950581
0.3,197.10109330764067,612583.2378668312
0.3,230.85627678742077,543261.118950408
0.3,214.54777872235692,555713.4056302386
0.3,221.75011407300272,549302.7682118046
0.3,201.4792930269977,591012.0888734066
0.3,202.6344265912148,586852.9417161188
0.3,209.2279220389314,563583.5044951234
0.3,222.39976304635522,548762.535990325
0.3,205.1228811969779,576572.9648742939
0.3,195.84232068289106,621011.5983775817
0.3,204.95574034379527,577135.5967505792
0.3,204.94266716908703,577730.5772499403
0.3,228.83026207050693,544307.5369740338
0.3,205.08337778434804,577097.8108860573
0.3,224.83713753509673,547060.8989989134
0.3,211.50248753776833,559391.4707331263
0.3,196.6933798957119,614575.0555423251
0.3,212.14356046616496,558746.1487212537
0.3,195.19821349695232,626303.3822341023
0.3,207.87873059738084,567049.8987832277
0.3,234.48680413657115,542027.3187101719
0.3,216.10387135477305,554067.0698715487
0.3,209.56705045964844,562346.0008585866
0.3,216.83646625629765,553627.9794908559
0.3,223.05242729850795,548145.7727953692
0.3,196.49806765820563,616379.3163322656
0.3,204.25583582872224,579959.4151009297
0.3,197.8795103835705,608381.1256970208
0.3,216.30937538220826,553863.8175120563
0.3,217.66097525877672,552789.7643800309
0.3,207.76780980980905,567132.3153523477
0.3,229.26121112754083,544022.5445995908
0.3,198.7044011112919,604518.1546556136
0.3,204.66648028948023,578799.7850899552
0.3,197.13293049656346,612547.0786766065
0.3,226.99024140186526,545670.7403975012
0.3,195.5563427343817,623062.4966418174
0.3,213.29323884504868,556909.074639118
0.3,222.87921598476657,548500.938495307
0.3,201.44513880161134,591635.2369351002
0.3,213.01343013470057,557855.1765554551
0.3,214.72431058718982,555522.5755017353
0.3,198.71385812950075,603842.1591264615
0.3,214.02247477761864,556375.5204959551
0.3,228.6770911319525,544423.4892110417
0.3,213.0324738495831,557599.5592923347
0.3,210.65764735879088,560782.9046646872
0.3,197.4569885775427,610912.1769452523
0.3,234.53958436630182,542011.6064390219
0.3,196.1109809455621,618664.3971349234
0.3,200.2309161795407,596793.9703172711
0.3,210.69242413834485,560479.1316363702
0.3,196.44978452362048,617328.6309864955
0.3,204.16097927371558,580345.3253111688
0.3,195.84689843204958,620428.7585356105
0.3,224.99056001959735,546869.9955301525
0.3,219.5300993140467,551833.2329429309
0.3,220.64922993256164,550166.901972679
0.3,231.03089428756417,543250.7863329335
0.3,209.87397523959538,561840.659811162
0.3,222.1262167468179,548774.6889390657
0.3,211.43294157893274,559479.1791227602
0.3,207.6857511565486,567502.4492433469
0.3,199.49552324152359,599825.3215292898
0.3,222.5344279628687,548669.6555002283
0.3,212.7607958439882,557856.5329738302
0.3,219.29527827946418,551838.2095991527
0.3,213.16455904381976,557254.1183215005
0.3,225.08911935809638,546797.8829709768
0.3,197.58889397444784,609651.2742016395
0.3,201.68432016667768,590873.4723166802
0.3,197.75806830813156,609251.9776258377
0.3,219.63622203862832,551606.0003583876
0.3,223.05159212463403,548318.944862591
0.3,206.76738105037484,570774.021116177
0.3,227.28223743949934,545662.3412015823
0.3,230.42919259455073,543582.6756728736
0.3,214.21430924939554,556168.6689837668
0.3,207.05873723116287,569637.9511831659
0.3,204.730253615931,578327.7377283431
0.3,205.49130343698326,575349.5819088535
0.3,204.52632088584932,579091.6698926851
0.3,202.81452459352772,586173.0703977328
0.3,196.3946463272674,617718.3450591576
0.3,206.70575922605767,571150.4686084456
0.3,207.02473548809203,570118.7518743417
0.3,199.05537237019152,602597.7170105273
0.3,220.26860437136014,550512.7755756109
0.3,228.34434097665,544671.1940909054
0.3,198.582419603763,604936.1296524587
0.3,216.50262011009534,553752.7975139113
0.3,196.2691888790277,618219.1230485279
0.3,215.28006818669496,554894.5589554952
0.3,198.47209960907952,605690.9629516879
0.3,204.7886382270467,577998.2173963789
0.3,221.01415513080767,549773.8158628545
0.3,205.5801682917343,575145.4759110094
0.3,199.64847512776612,599174.3429651306
0.3,195.50708017750134,623568.598298369
0.3,225.8308026977773,546549.7063317331
0.3,214.9516129684953,555391.9138253169
0.3,198.8497805051432,603461.1653503741
0.3,199.45425443728897,600240.6815765336
0.3,216.64307547191044,553715.6848507116
0.3,205.42795669722918,575734.4802603021
0.3,196.66041256071108,615499.2657426569
0.3,212.34565765693705,558737.9385918194
0.3,216.0180337383122,554498.0101664652
0.3,196.8377260138821,614330.332356036
0.3,204.47563731295065,579443.668951717
0.3,195.65845055942566,621585.9032340815
0.3,209.06414899216333,563846.8288908859
0.3,210.16813683326498,561187.9409621325
0.3,201.98019047669834,589109.6925023865
0.3,208.37311022600358,565520.6794283162
0.3,216.2055772235326,554003.4364337069
0.3,210.06106084170986,561289.1888186639
0.3,203.05102059686033,584997.9845828831
0.3,208.62207299788406,565195.4830677379
0.3,213.14205747538867,557328.5026128907
0.3,205.65403658580615,574861.4036276236
0.3,203.83356592824185,581571.4836895512
0.3,200.56908305512113,595195.4584750624
0.3,197.30027003826106,611171.948933887
0.3,197.58179864869746,610102.5295825915
0.3,214.20343335499476,556333.3415741175
0.3,199.96583925693562,597890.44986867
0.3,214.94540226178097,555394.4138029519
0.3,201.37384509218253,592053.6216454096
0.3,208.0884307752862,566399.2466052033
0.3,205.2744819388103,576356.2630156782
0.3,213.9915864268094,556700.9856501063
0.3,208.4446854333347,565318.7896043999
0.3,203.89386920002354,581339.3747051945
0.3,200.95950151933798,593496.870004737
0.3,226.63786170102435,546082.4214671222
0.3,200.88753019622558,593608.2917060934
0.3,201.2460154075418,592642.6166636203
0.3,196.10256375975607,619212.7609734589
0.3,204.88717038717817,577913.213717906
0.3,200.3823799672067,596080.2656709583
0.3,207.50415280796312,568003.0983848262
0.3,226.94652497190788,545807.3836928543
0.3,210.86212993806788,560428.4769709781
0.3,221.84800519512132,548954.2954098973
0.3,201.10618519294115,593098.9568640518
0.3,203.07918107655055,584701.7086354095
0.3,203.9672083417635,581030.3362479766
0.3,204.4166686533076,579501.4481020609
0.3,196.16466280171045,618436.5834087253
0.3,195.9049358927037,620040.7402561214
0.3,199.8184913562808,598738.8792392638
0.3,199.07593736813175,602235.1698151233
0.3,201.57440964536644,590951.800387317
0.3,198.84311186382487,603687.6409248012
0.3,198.17671562018757,607083.9547762881
0.3,207.57472127977405,567832.918380092
0.3,220.87823598575375,549984.8752025194
0.3,226.3693621420385,546262.9965835373
0.3,206.39990290858876,572445.2149552447
0.3,214.63943506157665,555574.3309393469
0.3,227.6258262052254,545424.5652992118
0.3,200.568024643261,595497.8096153378
0.3,199.3828859225567,600557.7014736703
0.3,199.94049587941598,598113.823338067
0.3,208.9634194125476,563960.9949270815
0.3,197.50738970882543,610540.26921715
0.3,235.7368459441748,541435.0538945749
0.3,207.4937668841335,568236.570064311
0.3,200.6457970535558,595050.0501398765
0.3,205.31607681378384,576051.9916836306
0.3,205.22429072428363,576455.3628838717
0.3,200.3267175772038,596595.7042150259
0.3,208.81440425088607,564501.0899594477
0.3,204.09228734928416,580393.7484685627
0.3,226.09753775643708,546426.4506410691
0.3,211.0111428997993,560184.4685328526
0.3,198.89730550884397,603155.5620468528
0.3,197.90150217884076,608048.2661515443
0.3,201.13281724819976,592831.6229664024
0.3,198.19039566937434,606606.1605762776
0.3,201.24708278344292,592293.4252521907
0.3,222.05284347010257,548791.3086401232
0.3,223.9333895612958,547888.1547483227
0.3,199.73387154218017,599090.5670182605
0.3,204.34423481671502,579735.3384432162
0.3,227.81546483416784,545233.6891212714
0.3,200.8710146225,593898.4932554251
0.3,195.89086678767637,620344.3240037576
0.3,228.47871853603357,544563.8809418092
0.3,224.84080072312832,547053.5643885781
0.3,208.23088230515958,565932.3295330242
0.3,207.24214986617844,569406.0807700946
0.3,201.30372439362512,592249.5858689549
0.3,199.82834697449056,598442.388433157
0.3,204.08954918355488,580719.9092255095
0.3,196.04098611781748,619667.4019873424
0.3,229.31651188538962,543974.7563100383
0.3,199.59887836403445,599805.5432661291
0.3,198.16328049857177,607346.6983327087
0.3,203.51942876703427,582813.9659898758
0.3,206.0623180855324,573609.42549053
0.3,199.22618365531994,601694.2728366174
0.3,196.55992202197973,616037.9449358262
0.3,228.2908165135881,544854.083451806
0.3,201.96132850779009,589397.3084247317
0.3,209.95220841208308,561530.1583817345
0.3,206.53002034017425,571597.2916279802
0.3,197.45965856098243,610713.1779784226
0.3,199.64529186611665,599558.2240177572
0.3,226.0352738910335,546525.1441651571
0.3,206.29692399806092,572580.4157740565
0.3,201.81775273877065,590334.9601999468
0.3,226.79627989103898,546019.3780404268
0.3,222.75454205257202,548533.3737951065
0.3,196.98764812350427,613616.2437707614
0.3,202.0711246769466,588994.9633752578
0.3,209.8808236514443,561698.0643575718
0.3,196.52129344607596,616349.9450660706
0.3,203.02142175256907,585562.550865795
0.3,220.743082717198,550033.904254755
0.3,199.30088451624957,601098.4643741674
0.3,199.42599772309887,600326.1255527844
0.3,209.9778208535594,561419.993947976
0.3,200.19982044632616,597110.1848962305
0.3,201.71470649977462,590516.6222194368
0.3,212.47882838338194,558371.2373862958
0.3,198.42331534916838,605915.562401063
0.3,217.6490254855011,552815.7325347131
0.3,202.22593246762938,588434.5639036368
0.3,201.01295016262517,593278.2360968034
0.3,204.77110226293956,578327.1318790232
0.3,199.21194823345704,601933.4906540366
0.3,201.37488612002792,591802.7569551717
0.3,227.3208136439668,545642.4278594654
0.3,209.1359635082169,563681.8033056413
0.3,208.3104850671474,565773.4068565504
0.3,198.32555899317245,606225.9075644906
0.3,196.91692057947134,614045.5049528112
0.3,206.47624185905914,571904.7259347385
0.3,203.80908541943637,581901.1138389474
0.3,200.17096531284065,597409.7216124595
0.3,206.11271076238637,573372.7870037642
0.3,227.47722351278622,545616.081413016
0.3,220.24840205863626,550662.6031303786
0.3,198.97246184075547,602877.4799011559
0.3,226.83543654947948,545922.4645743293
0.3,195.8120958010243,621284.1070548812
0.3,199.13055897828264,601945.5234267041
0.3,206.60130561421053,571411.6493240909
0.3,195.958911055254,619831.4626154401
0.3,208.93763569234517,564466.9295520643
0.3,198.28331756158997,606469.7771380426
0.3,226.5454460893797,546093.8326115182
0.3,215.35896589975448,554770.8379456714
0.3,229.84284919404877,543695.6386181619
0.3,212.4647837719656,558571.5772964132
