ID,Active,Task Mode,Name,Duration,Start,Finish,Predecessors,Outline Level,Notes
0,Yes,Auto Scheduled,Commercial Construction,344 days,1 May 2023 8:00 AM,22 August 2024 5:00 PM,,0,
1,Yes,Auto Scheduled,General Conditions,17 days,1 May 2023 8:00 AM,23 May 2023 5:00 PM,,1,
2,Yes,Auto Scheduled,Receive notice to proceed and sign contract,3 days,1 May 2023 8:00 AM,3 May 2023 5:00 PM,,2,
3,Yes,Auto Scheduled,Submit bond and insurance documents,2 days,4 May 2023 8:00 AM,5 May 2023 5:00 PM,2,2,
4,Yes,Auto Scheduled,Prepare and submit project schedule,2 days,8 May 2023 8:00 AM,9 May 2023 5:00 PM,3,2,
5,Yes,Auto Scheduled,Prepare and submit schedule of values,2 days,10 May 2023 8:00 AM,11 May 2023 5:00 PM,4,2,
6,Yes,Auto Scheduled,Obtain building permits,4 days,4 May 2023 8:00 AM,9 May 2023 5:00 PM,2,2,
7,Yes,Auto Scheduled,Submit preliminary shop drawings,2 wks,10 May 2023 8:00 AM,23 May 2023 5:00 PM,6,2,
8,Yes,Auto Scheduled,Submit monthly requests for payment,1 day,4 May 2023 8:00 AM,4 May 2023 5:00 PM,2,2,"Monthly requests for payment can be entered as a recurring task. See the Help topic ""Enter a recurring task.""..."
9,Yes,Auto Scheduled,Long Lead Procurement,70 days,5 May 2023 8:00 AM,10 August 2023 5:00 PM,,1,
10,Yes,Auto Scheduled,Submit shop drawings and order long lead items - steel,2 wks,5 May 2023 8:00 AM,18 May 2023 5:00 PM,8,2,
11,Yes,Auto Scheduled,Submit shop drawings and order long lead items - roofing,2 wks,24 May 2023 8:00 AM,6 June 2023 5:00 PM,7,2,
12,Yes,Auto Scheduled,Submit shop drawings and order long lead items - elevator,2 wks,24 May 2023 8:00 AM,6 June 2023 5:00 PM,7,2,
13,Yes,Auto Scheduled,Submit shop drawings and order long lead items - plumbing,2 wks,24 May 2023 8:00 AM,6 June 2023 5:00 PM,7,2,
14,Yes,Auto Scheduled,Submit shop drawings and order long lead items - electric,2 wks,24 May 2023 8:00 AM,6 June 2023 5:00 PM,7,2,
15,Yes,Auto Scheduled,Submit shop drawings and order long lead items - HVAC,2 wks,24 May 2023 8:00 AM,6 June 2023 5:00 PM,7,2,
16,Yes,Auto Scheduled,"Detail, fabricate and deliver steel",12 wks,19 May 2023 8:00 AM,10 August 2023 5:00 PM,10,2,
17,Yes,Auto Scheduled,Mobilize on Site,10 days,4 May 2023 8:00 AM,17 May 2023 5:00 PM,,1,
18,Yes,Auto Scheduled,Install temporary power,2 days,4 May 2023 8:00 AM,5 May 2023 5:00 PM,2,2,
19,Yes,Auto Scheduled,Install temporary water service,2 days,4 May 2023 8:00 AM,5 May 2023 5:00 PM,2,2,
20,Yes,Auto Scheduled,Set up site office,3 days,8 May 2023 8:00 AM,10 May 2023 5:00 PM,"18,19",2,
21,Yes,Auto Scheduled,Set line and grade benchmarks,3 days,11 May 2023 8:00 AM,15 May 2023 5:00 PM,20,2,
22,Yes,Auto Scheduled,Prepare site - lay down yard and temporary fencing,2 days,16 May 2023 8:00 AM,17 May 2023 5:00 PM,21,2,
23,Yes,Auto Scheduled,Site Grading and Utilities,35 days,18 May 2023 8:00 AM,5 July 2023 5:00 PM,,1,
24,Yes,Auto Scheduled,Clear and grub site,3 days,18 May 2023 8:00 AM,22 May 2023 5:00 PM,"20,22",2,
25,Yes,Auto Scheduled,Stone site access and temporary parking area,2 days,23 May 2023 8:00 AM,24 May 2023 5:00 PM,"24,22",2,
26,Yes,Auto Scheduled,Rough grade site (cut and fill),1 wk,25 May 2023 8:00 AM,31 May 2023 5:00 PM,25,2,
27,Yes,Auto Scheduled,Install storm drainage,2 wks,1 June 2023 8:00 AM,14 June 2023 5:00 PM,26,2,
28,Yes,Auto Scheduled,Install exterior fire line and building fire riser,2 wks,1 June 2023 8:00 AM,14 June 2023 5:00 PM,26,2,
29,Yes,Auto Scheduled,Perform final site grading,2 wks,15 June 2023 8:00 AM,28 June 2023 5:00 PM,"27FF+1d,28",2,
30,Yes,Auto Scheduled,Erect building batter boards and layout building,1 wk,29 June 2023 8:00 AM,5 July 2023 5:00 PM,29,2,
31,Yes,Auto Scheduled,Foundations,33 days,6 July 2023 8:00 AM,21 August 2023 5:00 PM,,1,
32,Yes,Auto Scheduled,Excavate foundations,2 wks,6 July 2023 8:00 AM,19 July 2023 5:00 PM,30,2,
